PlayerId;TeamId;FranchiseId;Games Played;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
6581;98;98;1;50;0;0;0;35;31;4;4.72;0;.886;58
6636;136;136;5;309;2;2;1;199;179;20;3.88;0;.899;71
6753;131;131;10;617;7;3;0;259;229;30;2.92;0;.884;58
6813;130;14;6;353;3;2;1;184;167;17;2.88;1;.908;69
6821;71;71;5;233;1;4;0;140;119;21;5.40;0;.850;48
6824;67;67;4;239;0;4;0;162;145;17;4.26;0;.895;67
6837;141;25;6;360;3;3;0;138;123;15;2.50;2;.891;64
6890;142;23;7;419;6;1;0;121;113;8;1.14;4;.934;71
6905;68;68;2;68;0;0;0;43;40;3;2.63;0;.930;66
6968;145;145;10;599;6;3;1;229;210;19;1.90;1;.917;69
6985;57;12;1;49;0;0;0;28;25;3;3.60;0;.893;71
7078;99;99;8;482;4;4;0;276;238;38;4.72;0;.862;51
7115;130;130;1;21;0;0;0;8;7;1;2.80;0;.875;50
7142;85;85;1;29;0;1;0;15;14;1;2.05;0;.933;59
7215;103;103;6;375;5;1;0;179;158;21;3.36;0;.883;55
7237;75;75;6;356;2;4;0;225;205;20;3.36;0;.911;68
7269;83;83;5;183;1;3;0;135;115;20;6.55;0;.852;47
7271;82;82;13;789;8;4;1;374;326;48;3.65;0;.872;57
7389;74;74;11;593;4;5;1;348;310;38;3.84;0;.891;64
7409;70;70;7;352;3;4;0;204;179;25;4.26;0;.877;54
7461;115;115;5;270;2;3;0;226;209;17;3.77;0;.925;87
7466;112;112;5;254;3;2;0;116;98;18;4.24;0;.845;44
7512;113;113;5;300;1;4;0;238;215;23;4.60;0;.903;77
7538;109;109;5;298;3;2;0;132;117;15;3.02;0;.886;55
7596;79;79;1;25;0;0;0;10;10;0;0.00;0;1.000;62
7598;66;66;11;581;7;4;0;262;230;32;3.30;3;.878;58
7628;87;87;4;206;0;4;0;143;121;22;6.40;0;.846;45
7735;96;96;5;266;1;4;0;155;133;22;4.96;0;.858;49
7816;68;68;6;314;2;3;1;220;195;25;4.77;0;.886;56
7840;66;66;3;85;0;0;0;37;30;7;4.94;0;.811;40
7849;72;72;10;622;8;2;0;276;251;25;2.41;1;.909;67
7904;79;79;7;407;3;4;0;281;252;29;4.28;0;.897;66
7911;65;65;7;387;3;3;1;310;287;23;3.56;0;.926;75
7942;65;65;1;40;0;0;0;26;22;4;5.90;0;.846;52
7993;108;108;5;282;2;2;0;162;140;22;4.67;0;.864;52
8020;119;119;2;96;1;1;0;71;61;10;6.25;0;.859;54
8031;106;106;2;70;0;2;0;49;40;9;7.68;0;.816;46
8056;108;108;1;34;0;0;1;14;13;1;1.76;0;.929;56
8057;120;120;5;299;4;1;0;75;63;12;2.41;0;.840;48
8108;116;116;5;299;4;1;0;70;61;9;1.80;1;.871;55
8109;107;107;5;298;2;3;0;148;132;16;3.22;0;.892;56
8165;88;88;6;358;3;2;0;166;146;20;3.35;0;.880;55
8236;87;87;2;33;0;0;0;18;16;2;3.55;0;.889;51
8314;94;94;5;319;1;2;2;224;206;18;3.38;1;.920;70
8320;93;93;3;155;0;3;0;104;86;18;6.92;0;.827;39
8367;70;70;2;68;0;0;0;38;33;5;4.35;0;.868;51
8420;76;76;12;707;5;3;3;346;306;40;3.39;0;.884;57
8442;74;74;4;67;0;1;0;52;47;5;4.45;0;.904;53
8476;63;63;14;852;8;5;1;354;321;33;2.32;1;.907;63
8499;78;78;3;116;0;0;0;112;101;11;5.67;0;.902;63
8511;82;82;1;9;0;0;0;3;2;1;6.55;0;.667;41
8529;111;111;1;36;0;0;0;27;21;6;9.92;0;.778;29
8549;106;106;4;216;1;1;0;116;101;15;4.17;0;.871;55
8614;119;119;4;202;0;3;0;166;149;17;5.03;0;.898;63
8629;118;118;5;298;3;2;0;115;99;16;3.22;0;.861;58
8658;117;117;1;4;0;1;0;8;5;3;37.89;0;.625;37
8703;112;112;1;45;0;0;0;26;22;4;5.31;0;.846;48
8745;102;102;7;435;3;3;1;256;228;28;3.86;0;.891;66
8768;91;91;6;360;5;1;0;143;126;17;2.83;0;.881;53
8794;90;90;8;457;4;4;0;316;284;32;4.20;0;.899;66
8820;96;96;1;33;0;0;0;25;23;2;3.62;0;.920;60
8938;83;83;4;240;3;1;0;89;75;14;3.50;0;.843;40
8956;80;80;9;548;8;1;0;202;182;20;2.19;2;.901;60
9034;76;76;1;15;1;0;0;4;4;0;0.00;0;1.000;55
9118;106;106;1;10;1;0;0;6;6;0;0.00;0;1.000;58
9199;110;110;5;307;4;1;0;165;147;18;3.52;0;.891;58
9202;111;111;5;280;3;1;1;145;131;14;2.99;0;.903;61
9224;117;117;5;294;3;1;0;140;120;20;4.07;0;.857;49
9227;99;99;1;15;0;0;0;4;4;0;0.00;0;1.000;53
9247;78;78;4;132;0;3;1;117;99;18;8.13;0;.846;41
9273;93;93;3;143;1;1;0;101;92;9;3.76;0;.911;69
9279;95;95;6;359;5;1;0;163;146;17;2.84;0;.896;61
9292;83;83;4;176;1;1;0;92;80;12;4.07;1;.870;53
9312;115;115;1;28;0;0;0;18;18;0;0.00;0;1.000;78
9313;105;105;5;298;2;3;0;202;184;18;3.61;0;.911;76
9347;71;71;2;65;0;0;0;48;42;6;5.49;0;.875;54
9353;85;85;7;392;3;2;1;164;141;23;3.52;0;.860;54
9367;98;98;7;377;4;2;1;268;247;21;3.34;0;.922;76
9943;104;-1;5;293;2;3;0;115;96;19;3.89;0;.835;43
9944;88;-1;1;20;1;0;0;4;4;0;0.00;0;1.000;55
9967;104;-1;2;65;0;1;0;26;21;5;4.61;0;.808;42
9981;101;-1;5;304;1;3;1;198;175;23;4.54;1;.884;59
9984;90;-1;2;25;0;0;0;18;15;3;7.16;0;.833;48
10011;86;86;5;300;5;0;0;114;107;7;1.40;1;.939;73
10017;114;114;5;305;1;3;1;179;159;20;3.93;1;.888;64
