TeamId;GP;G;GA;S;SA;FO%;SB;H;TkA;GvA;InD;PIM/G;PP Ch;PPG;SH GA;SH Ch;PP GA;SHG;Att Total Home;Att Total Away;Att Avg Home;Att Avg Away;Sellouts Home;Sellouts Away;Capacity Use %
24;82;267;294;2552;2727;51.2;1326;1360;843;1086;308;6.54;245;33;5;204;48;8;586744;736701;14310;17968;0;12;81
25;82;248;317;2504;3024;48.7;1212;1632;824;939;83;9.20;232;34;10;255;47;4;653502;697255;15939;17006;0;9;71
26;82;222;317;2578;2992;49.8;964;1832;810;944;212;7.27;207;39;12;212;45;5;557928;703552;13608;17159;0;7;80
27;82;308;295;2983;2853;50.6;1280;2026;768;965;109;7.43;207;44;3;211;50;6;666144;704918;16247;17193;1;9;91
28;82;322;290;2999;2724;50.7;1188;1488;907;856;140;8.34;258;43;15;226;37;4;662546;699810;16159;17068;1;6;86
29;82;315;276;3056;2868;51.7;1189;1467;936;977;37;6.77;219;38;11;195;31;10;641033;695975;15634;16975;40;4;100
30;82;258;184;2399;2346;49.8;1193;2151;856;1083;260;8.73;268;49;7;266;38;7;708189;720761;17272;17579;15;11;99
31;82;293;281;2760;2989;50.0;1194;1859;779;1072;148;7.51;235;45;11;234;37;8;735791;698813;17946;17044;8;5;97
32;76;247;278;2397;2614;50.8;1241;1463;322;271;48;11.64;344;62;5;350;68;5;133900;286335;3523;7535;0;0;57
33;76;247;262;2513;2624;50.7;1299;1662;372;299;107;11.43;328;64;5;348;73;8;469571;299627;12357;7884;0;0;79
34;76;258;269;2637;2516;51.2;1183;1764;364;331;80;10.82;316;61;7;339;66;5;311134;264956;8187;6972;0;0;69
36;76;199;286;2198;2755;50.4;1333;1416;324;310;118;12.21;353;56;9;352;62;5;210605;290666;5542;7649;0;0;57
37;76;217;267;2219;2652;47.7;1221;1665;354;277;42;11.12;307;54;9;350;55;12;304992;252340;8026;6640;0;0;84
38;76;242;263;2371;2686;47.4;1275;1650;373;273;79;12.22;329;60;4;341;72;4;130811;295493;3442;7776;0;0;60
40;76;230;284;2160;2897;50.5;1403;1549;370;271;63;11.92;304;54;5;335;67;9;143433;297707;3774;7834;0;0;51
41;76;234;249;2335;2466;49.6;1205;1622;399;347;91;11.39;334;67;8;351;70;7;155329;305329;4087;8034;0;0;60
43;76;257;264;2437;2478;49.4;1259;1446;379;300;305;11.47;360;64;5;349;64;3;323780;312245;8520;8216;0;0;56
44;76;249;219;2529;2347;50.4;1064;1384;349;297;84;9.87;326;59;6;308;48;8;174987;286208;4604;7531;0;0;59
45;76;265;247;2716;2339;50.4;1147;1559;408;305;76;9.38;323;67;4;304;57;4;268294;287074;7060;7554;0;0;73
47;76;193;335;2045;3228;49.3;1548;1569;337;297;66;12.04;331;71;7;329;67;5;211372;281524;5562;7408;0;0;56
48;76;235;265;2468;2623;48.1;1233;1455;386;315;140;9.46;316;54;6;307;63;7;187399;288795;4931;7599;0;0;59
50;76;265;257;2720;2434;49.7;1135;1550;373;305;489;11.14;330;66;5;326;67;8;296765;300642;7809;7911;0;0;81
53;76;235;275;2359;2900;49.6;1279;1649;363;273;113;12.07;321;59;9;353;68;5;190557;289088;5014;7607;0;0;58
54;76;305;216;2693;2215;49.8;1062;1517;374;281;44;10.37;337;61;9;318;50;10;149167;313785;3925;8257;0;0;57
55;76;282;214;2736;2195;53.0;1086;1529;361;302;440;10.17;354;77;6;287;52;4;191382;272407;5036;7168;0;0;61
56;76;267;226;2443;2532;50.3;1246;1437;335;278;251;10.53;297;69;2;331;59;9;447788;264628;11783;6963;0;0;67
57;76;261;195;2621;2132;52.2;1091;1398;362;303;87;11.70;351;66;9;337;51;5;149901;314503;3944;8276;0;0;56
58;76;255;222;2706;2325;52.6;1142;1475;394;312;56;10.28;323;60;5;312;45;4;384753;274322;10125;7219;0;0;78
59;76;297;268;2744;2470;51.5;1188;1385;345;288;189;10.01;328;76;12;326;69;6;249351;283612;6561;7463;0;0;81
60;76;208;254;2317;2549;49.1;1269;1478;354;267;320;12.45;338;53;2;368;65;9;524798;275998;13810;7263;0;0;83
62;76;278;254;2675;2398;47.6;1055;1685;430;320;50;11.55;368;56;6;344;72;10;162233;283079;4269;7449;0;0;81
63;68;329;207;2990;1803;50.6;879;1109;315;327;248;23.35;335;100;4;259;52;3;22162;103614;651;3047;0;0;65
64;68;168;331;1644;2787;48.1;1341;950;322;313;440;19.34;259;43;7;301;73;4;18663;111696;548;3285;0;0;55
65;68;207;331;1761;2869;45.7;1427;997;306;323;365;19.62;288;45;9;319;73;3;15625;106091;459;3120;0;0;46
66;68;341;207;2920;1890;51.9;955;1043;320;364;564;20.18;358;97;2;303;66;6;116964;96071;3440;2825;0;0;58
67;68;220;244;1902;2424;48.6;1170;1098;361;317;169;23.28;305;52;5;355;76;8;76110;99736;2238;2933;0;0;51
68;68;305;217;2569;1944;54.4;928;1056;367;330;348;19.90;287;69;4;290;65;4;63231;130726;1859;3844;0;0;55
69;68;156;362;1362;3320;42.1;1604;1046;287;356;316;23.82;273;45;8;355;85;5;172955;123114;5086;3621;0;0;53
70;68;311;211;2738;1826;54.6;869;1137;327;339;169;22.24;356;77;2;292;70;4;245524;115501;7221;3397;0;0;74
71;68;273;249;2362;2346;47.8;1082;1146;313;323;326;19.43;306;72;5;274;47;5;30138;143859;886;4231;0;0;55
72;68;315;225;2496;1920;52.3;962;1080;319;294;377;21.63;330;87;5;294;51;12;113409;137887;3335;4055;0;0;51
73;68;160;319;1491;2912;50.3;1478;1075;332;395;93;18.12;304;48;5;315;65;4;262486;115188;7720;3387;0;0;48
74;68;299;216;2536;2077;51.4;1079;1235;338;346;317;20.99;286;70;3;317;57;4;73154;132378;2151;3893;0;0;47
75;68;238;253;2207;2296;49.8;1200;1091;361;368;158;21.57;334;66;2;315;80;10;99964;113866;2940;3349;0;0;54
76;68;307;245;2711;1920;50.3;1037;1193;314;327;397;24.26;318;74;1;321;71;3;99786;120079;2934;3531;0;0;49
77;68;176;341;1828;2785;49.6;1417;1036;359;391;427;17.69;292;52;11;292;73;2;87880;111790;2584;3287;0;0;39
78;68;235;250;2280;2470;51.4;1237;1225;349;383;348;24.19;343;64;7;415;65;5;68440;123279;2012;3625;0;0;69
79;68;280;211;2459;1930;48.7;1011;1054;303;335;557;23.22;366;82;4;339;62;4;117285;111162;3449;3269;0;0;55
80;68;402;172;3472;1419;52.5;745;1203;377;370;70;21.59;310;83;5;275;45;3;124162;138059;3651;4060;0;0;61
81;68;221;324;2170;2618;52.3;1365;1108;311;346;202;20.93;293;61;5;324;86;6;250284;119367;7361;3510;0;0;45
82;68;266;239;2215;2316;53.7;1095;1076;339;334;360;21.29;324;67;5;306;63;6;167603;146728;4929;4315;0;0;70
83;68;324;206;2768;1929;47.5;945;1095;344;300;204;25.24;342;84;4;321;65;8;186366;126604;5481;3723;0;0;67
84;68;152;325;1737;2817;46.0;1331;1134;337;356;125;19.40;269;36;7;296;81;1;236630;122026;6959;3589;0;0;38
85;68;316;219;2488;1874;48.6;914;1071;356;331;328;22.91;337;90;3;290;42;7;169927;98068;4997;2884;0;0;64
86;68;307;217;2561;2053;47.8;1006;1171;352;321;446;21.18;301;80;4;292;56;5;193975;90843;5705;2671;0;0;53
87;68;260;246;2121;2226;49.6;1132;1036;319;361;341;21.49;339;66;3;293;58;6;117516;103968;3456;3057;0;0;58
88;68;291;275;2412;2183;55.1;1023;1221;355;347;329;22.18;310;78;5;315;71;7;76349;106598;2245;3135;0;0;71
89;68;221;357;1943;2659;42.3;1239;1170;371;372;348;22.38;290;57;4;374;90;4;75723;106871;2227;3143;0;0;40
90;68;273;308;2156;2485;49.3;1290;1136;344;403;188;20.49;289;78;9;302;84;1;96032;99590;2824;2929;0;0;46
91;68;389;197;3046;1751;51.5;902;1130;314;318;182;25.03;376;96;2;311;69;4;15619;105231;459;3095;0;0;48
92;68;213;350;1788;3067;48.4;1590;1200;325;404;292;22.66;308;56;3;353;93;3;74505;100491;2191;2955;0;0;51
93;68;208;345;1815;2806;51.7;1406;989;350;345;237;18.16;290;57;3;340;78;0;88925;92267;2615;2713;0;0;62
94;68;278;292;2333;2344;47.9;1143;1096;349;320;295;21.97;336;86;3;311;67;4;89974;94456;2646;2778;0;0;55
95;68;322;244;2678;1884;54.8;994;1323;353;406;134;24.00;332;102;1;339;74;4;93145;93542;2739;2751;0;0;50
96;68;264;297;2267;2321;50.7;1207;1100;349;350;197;21.94;352;86;8;335;87;3;90210;97713;2653;2873;0;0;50
97;68;254;298;2004;2507;48.6;1231;1216;398;414;372;23.54;343;81;10;340;91;7;76626;97819;2253;2877;0;0;49
98;68;232;266;2106;2351;50.6;1260;1050;404;369;234;20.66;321;69;2;301;81;6;125087;94392;3679;2776;0;0;55
99;68;302;252;2487;2078;52.2;1005;1246;400;354;107;22.84;334;65;6;321;67;9;76443;95704;2248;2814;0;0;48
100;68;229;338;1977;2615;50.2;1316;1183;328;347;289;24.34;309;65;6;337;104;6;83023;96393;2441;2835;0;0;49
101;68;246;317;1963;2541;50.6;1321;1210;421;391;196;21.91;293;63;6;322;76;3;163752;84967;4816;2499;0;0;53
102;68;308;264;2525;2272;53.1;997;1070;327;315;466;20.25;320;67;2;302;75;2;56783;101061;1670;2972;0;0;48
103;68;323;190;2773;1767;50.6;888;1075;296;332;49;21.59;328;77;7;320;53;10;83911;109916;2467;3232;0;0;70
104;68;303;267;2424;2083;46.3;1108;1110;303;299;301;26.25;337;69;7;347;66;10;116928;94563;3439;2781;0;0;62
105;68;193;312;1785;2806;48.7;1462;945;335;319;186;20.24;317;49;6;346;71;3;83217;80338;2447;2362;0;0;45
106;68;290;246;2308;2172;51.5;1093;1096;358;305;391;20.84;339;67;3;300;50;7;93767;76866;2757;2260;0;0;56
107;68;193;329;1913;2485;42.8;1270;1215;328;318;212;20.99;371;45;13;346;84;5;115309;76751;3391;2257;0;0;52
108;68;341;272;2537;2169;49.9;1141;1055;336;278;493;21.53;344;93;7;352;89;7;54249;77439;1595;2277;0;0;50
109;68;313;223;2520;1975;52.9;974;966;403;353;335;18.10;297;74;9;299;50;5;49376;81220;1452;2388;0;0;44
110;68;291;248;2591;1896;51.4;969;1156;344;316;317;23.63;333;68;9;352;61;7;60256;85687;1772;2520;0;0;49
111;68;296;278;2593;2101;49.6;1037;1046;303;280;275;19.78;316;82;6;295;59;5;45952;76231;1351;2242;0;0;58
112;68;312;241;2527;2129;51.9;1075;1085;362;341;152;20.96;342;73;7;313;70;8;52816;75008;1553;2206;0;0;54
113;68;237;282;1919;2637;50.9;1348;1125;319;322;410;22.15;332;59;5;356;80;9;43702;81177;1285;2387;0;0;47
114;68;291;218;2587;2031;51.6;969;1274;337;337;376;23.75;358;83;4;356;68;8;112602;76555;3311;2251;0;0;78
115;68;258;263;2022;2540;49.1;1287;1158;383;313;182;19.01;301;67;6;320;62;7;48982;74454;1440;2189;0;0;53
116;68;386;180;3055;1705;51.5;831;1081;295;329;162;18.59;398;110;4;330;47;5;69025;122196;2030;3594;0;0;54
117;68;297;232;2573;1939;53.4;959;1024;281;308;192;19.88;300;71;4;331;57;7;337699;90409;9932;2659;0;0;56
118;68;327;212;2868;1888;50.8;874;1175;330;302;250;20.22;351;86;4;322;65;5;93600;120580;2752;3546;0;0;63
119;68;180;349;1779;2814;50.4;1469;931;280;322;296;19.81;323;42;6;353;98;13;69084;129931;2031;3821;0;0;59
120;68;336;181;2904;1526;53.1;774;1163;330;252;384;18.96;339;89;4;277;47;3;102447;116229;3013;3418;0;0;60
121;68;138;422;1098;3635;40.3;1832;883;323;247;299;20.85;289;42;4;380;104;5;183737;113623;5404;3341;0;0;51
122;68;173;364;1784;2915;50.8;1402;1197;344;310;170;21.74;298;54;9;320;84;3;19077;80203;561;2358;0;0;48
123;76;255;257;2533;2584;52.1;1310;1564;333;287;53;10.54;317;69;4;324;72;4;553432;285253;14564;7506;0;0;71
124;82;317;291;2889;2800;48.3;1089;2004;812;878;70;8.35;212;57;6;226;37;7;582693;694934;14212;16949;0;5;71
125;76;259;262;2378;2725;48.5;1297;1791;375;343;223;12.58;328;61;9;347;58;10;627636;267355;16516;7035;0;0;85
126;70;221;201;2415;1981;50.4;957;1381;366;362;277;7.47;194;36;4;197;34;8;135583;135669;3873;3876;0;0;73
127;70;217;225;2201;2013;47.4;990;1531;373;397;237;7.24;201;46;3;200;44;1;164326;133005;4695;3800;0;0;75
128;70;131;278;1471;2789;49.9;1375;1230;380;365;179;9.17;197;32;4;225;45;2;146801;134341;4194;3838;0;0;67
129;70;171;257;1792;2588;48.6;1166;1330;404;429;225;6.40;209;28;2;194;39;1;100638;137285;2875;3922;0;0;61
130;70;242;199;2227;1969;50.7;1012;1370;391;410;92;7.83;209;50;3;210;39;6;123066;136833;3516;3909;0;0;81
131;70;295;153;3022;1365;52.8;678;1325;325;314;35;7.29;210;40;7;194;30;8;157421;148975;4497;4256;0;0;83
132;70;222;203;2028;2181;51.1;1014;1393;426;355;84;7.61;198;32;9;203;36;2;166674;147949;4762;4227;0;0;77
133;70;215;242;2085;2277;50.4;1095;1443;368;418;302;7.63;203;47;5;178;37;5;176382;131748;5039;3764;0;0;80
134;70;206;252;1937;2498;47.9;1146;1416;354;379;333;8.90;208;40;6;229;39;3;112393;134411;3211;3840;0;0;66
135;70;289;170;2765;1615;53.6;835;1384;389;339;58;7.34;230;46;4;201;27;9;158712;133435;4534;3812;0;0;69
136;70;231;224;2198;2020;49.5;966;1370;368;342;70;7.87;180;30;5;191;30;7;118402;139637;3382;3989;0;0;63
137;70;188;223;1966;2359;48.6;1135;1364;409;354;30;9.83;194;32;1;226;43;9;135076;135861;3859;3881;0;0;77
138;70;231;204;2186;1967;51.2;971;1409;406;346;46;8.07;216;36;7;224;39;2;125717;134776;3591;3850;0;0;64
139;70;234;188;2084;1937;50.8;939;1604;396;368;100;7.17;210;33;4;198;42;5;157034;130496;4486;3728;0;0;74
140;70;192;264;1761;2518;46.3;1201;1357;415;405;250;8.96;189;29;4;218;51;3;114359;132254;3267;3778;0;0;61
141;70;281;183;2591;1644;51.3;833;1413;391;383;88;7.43;209;44;1;197;29;5;129394;147527;3696;4215;0;0;64
142;70;310;136;3004;1280;52.2;683;1451;456;376;34;8.30;224;49;5;188;30;4;144709;140872;4134;4024;0;0;68
143;70;191;207;2027;2268;49.3;1049;1667;405;411;96;8.17;196;35;4;219;38;4;114752;132171;3278;3776;0;0;67
144;70;266;210;2423;1893;47.8;938;1500;410;416;49;6.84;237;64;4;203;41;4;126539;140473;3615;4013;0;0;70
145;70;250;137;2724;1402;51.3;679;1399;410;390;47;7.54;227;49;7;185;27;2;167690;131992;4791;3771;0;0;83
146;70;181;222;1703;2556;48.0;1222;1353;413;408;90;7.13;196;40;7;196;32;7;111966;137823;3199;3937;0;0;58
147;70;116;322;1320;2966;48.4;1433;1411;365;441;271;8.69;208;28;6;241;61;5;103621;132290;2960;3779;0;0;76
148;70;237;177;2385;1905;50.3;985;1381;367;344;32;7.10;182;39;3;181;26;4;155258;131535;4435;3758;0;0;67
149;70;129;258;1345;2873;46.7;1449;1316;386;382;297;8.27;190;21;3;226;54;4;117829;136637;3366;3903;0;0;64
150;70;152;282;1525;2668;52.8;1266;1287;368;335;218;7.93;200;32;4;196;47;1;163510;130607;4671;3731;0;0;67
151;70;223;188;2108;1977;51.4;1083;1393;385;385;164;7.30;214;44;7;211;26;7;91187;135825;2605;3880;0;0;89
152;82;196;321;2260;2853;48.4;1034;2050;771;1177;45;7.83;246;34;6;220;37;13;639541;691403;15598;16863;0;4;82
153;76;303;220;2996;2079;50.3;1045;1576;377;297;161;10.29;351;65;9;315;64;7;400678;275343;10544;7245;0;0;55
154;82;201;271;2426;2607;49.6;1120;2008;771;1040;41;8.44;205;29;8;225;38;11;782769;681973;19091;16633;13;5;95
155;76;283;218;2885;2068;47.8;1080;1400;396;273;196;10.37;372;67;7;335;63;4;403860;309594;10627;8147;0;0;49
156;70;202;218;2002;1786;52.0;712;2164;817;969;29;6.53;162;30;7;162;35;11;159616;134228;4560;3835;0;0;25
