TeamId;ES L1 LW;ES L1 C;ES L1 RW;ES L1 LD;ES L1 RD;ES L2 LW;ES L2 C;ES L2 RW;ES L2 LD;ES L2 RD;ES L3 LW;ES L3 C;ES L3 RW;ES L3 LD;ES L3 RD;ES L4 LW;ES L4 C;ES L4 RW;ES L4 LD;ES L4 RD;PP5on4 L1 LW;PP5on4 L1 C;PP5on4 L1 RW;PP5on4 L1 LD;PP5on4 L1 RD;PP5on4 L2 LW;PP5on4 L2 C;PP5on4 L2 RW;PP5on4 L2 LD;PP5on4 L2 RD;PP5on3 L1 LW;PP5on3 L1 C;PP5on3 L1 RW;PP5on3 L1 LD;PP5on3 L1 RD;PP5on3 L2 LW;PP5on3 L2 C;PP5on3 L2 RW;PP5on3 L2 LD;PP5on3 L2 RD;PP4on3 L1 F1;PP4on3 L1 F2;PP4on3 L1 LD;PP4on3 L1 RD;PP4on3 L2 F1;PP4on3 L2 F2;PP4on3 L2 LD;PP4on3 L2 RD;PK4on5 L1 F1;PK4on5 L1 F2;PK4on5 L1 LD;PK4on5 L1 RD;PK4on5 L2 F1;PK4on5 L2 F2;PK4on5 L2 LD;PK4on5 L2 LD;PK4on5 L3 F1;PK4on5 L3 F2;PK4on5 L3 LD;PK4on5 L3 LD;PK3on5 L1 F1;PK3on5 L1 LD;PK3on5 L1 RD;PK3on5 L2 F1;PK3on5 L2 LD;PK3on5 L2 LD;PK3on4 L1 F1;PK3on4 L1 LD;PK3on4 L1 RD;PK3on4 L2 F1;PK3on4 L2 LD;PK3on4 L2 LD;4on4 L1 F1;4on4 L1 F2;4on4 L1 LD;4on4 L1 RD;4on4 L2 F1;4on4 L2 F2;4on4 L2 LD;4on4 L2 LD;3on3 L1 F1;3on3 L1 LD;3on3 L1 RD;3on3 L2 F1;3on3 L2 LD;3on3 L2 LD;Shootout 1;Shootout 2;Shootout 3;Shootout 4;Shootout 5;Goalie 1;Goalie 2;Extra Attacker 1;Extra Attacker 2;
17;1821;6434;6254;1575;340;3865;7340;401;7441;5761;2950;5378;2846;6415;5489;427;6509;1739;;;7340;6434;1821;3865;7441;6254;401;2846;427;1575;7340;6434;1821;3865;7441;6254;401;2846;427;1575;6434;1821;3865;7441;7340;6254;401;1575;5378;3865;340;5761;6509;2950;7441;5489;6254;7340;6415;1575;3865;340;5761;5378;7441;5489;3865;340;5761;5378;7441;5489;6434;1821;340;5761;3865;6254;7441;;6434;1821;5761;3865;6254;340;1821;6434;;3865;6254;5872;1044;6434;1821;
18;5619;7071;1327;5519;300;6095;6448;1069;408;8172;834;1258;2722;6688;6001;6027;717;955;;;955;1069;5619;1327;5519;834;6448;7071;6095;300;955;1069;5619;1327;5519;834;6448;7071;6095;300;1069;1327;955;5519;6448;5619;6095;300;1069;5619;5519;408;717;6027;6688;300;;;;;6448;5519;408;1069;6688;300;6448;5519;408;1069;6688;300;6448;1327;5519;408;1069;955;6688;300;6448;1327;408;1069;955;5519;955;;1327;1069;6448;738;1218;955;1327;
19;887;8186;5857;7607;1587;6082;6249;2527;6335;1260;513;472;5864;5714;5445;5909;2766;1333;;;5857;8186;6082;7607;513;5864;887;6249;6335;2527;5857;8186;6082;7607;513;5864;887;6249;6335;2527;8186;887;6082;7607;6249;2527;2766;1260;8186;6249;7607;1260;5864;472;;1587;1333;2766;5714;5445;472;7607;1260;1333;;1587;472;7607;1260;1333;;1587;8186;2527;1587;1260;472;887;7607;5714;8186;887;1260;6082;472;1587;887;;2527;513;5864;933;3101;887;8186;
20;6565;5876;6466;5591;1152;473;849;1102;7614;5905;2843;1766;819;6273;6910;794;3645;1448;;;6565;5876;6466;5591;5905;473;1766;1102;6273;1152;6565;5876;6466;5591;5905;473;1766;1102;6273;1152;6565;5876;6273;5905;473;1766;5591;1152;6565;5876;5591;1152;473;849;7614;6910;;;;;5876;5591;1152;849;7614;6910;5876;5591;1152;849;7614;6910;6565;5876;;1152;1766;;6273;;6565;5876;1152;1766;;;5876;6565;;1766;794;1247;1294;5876;6565;
21;1375;1656;1149;8185;1243;1655;6166;5898;1087;5882;2053;6185;896;5584;6420;469;2048;5420;;;1375;6166;1149;1243;6420;1655;6185;1656;2048;5584;1375;6166;1149;1243;6420;1655;6185;1656;2048;5584;6166;1375;6420;1243;6185;1655;2048;5584;1149;469;8185;5882;5420;1656;1243;1087;1375;5898;5584;6420;469;1087;5882;1149;8185;1243;469;1087;5882;1149;8185;1243;1375;1149;8185;1243;6166;1656;1087;5882;1375;1149;1243;6166;1656;5882;1375;2048;2053;1655;896;1658;540;1656;1375;
23;1403;2959;5868;6551;1350;5912;1867;3372;5509;6236;5870;1900;6444;5465;2019;6345;1217;6471;;;5912;2959;5868;1403;1350;5870;1867;3372;1900;6236;5912;2959;5868;1403;1350;5870;1867;3372;1900;6236;1403;2959;5912;1350;6444;1867;1900;6236;2959;6444;6551;5509;1217;6471;5465;2019;;;;;6345;5509;6551;6444;5465;2019;6345;5509;6551;6444;5465;2019;1403;2959;5912;1350;6444;1867;1900;6236;1403;2959;1350;6444;1867;6236;1403;5912;2959;1900;5868;5944;6515;;2959;
24;5652;1040;928;2013;6436;966;8184;1930;6104;6456;5538;6130;1816;6330;30;662;5669;1883;;;5652;8184;1040;1816;6456;966;6130;928;1930;6436;5652;8184;1040;1930;6456;966;6130;928;1816;6436;8184;1040;5652;6456;928;966;1930;6436;1816;1883;2013;30;6130;5669;6104;6436;662;928;6330;6456;1816;2013;30;6130;6104;6436;1816;2013;30;6130;6104;6436;1040;928;5652;6436;8184;1930;966;6456;1040;5652;6436;8184;1930;6456;1040;1930;5652;1883;966;567;1828;1040;8184;
25;519;6011;8173;6279;6253;1590;5736;6451;5356;885;217;5713;5579;1745;5785;1761;1752;504;;;1590;6011;8173;5713;6279;217;5736;6451;519;5356;1590;6011;8173;5713;6279;217;5736;6451;519;5356;8173;6011;1590;6279;217;5713;6451;5356;519;6451;5356;885;5736;5579;5785;6253;1761;1752;6279;1745;6451;5356;885;519;5785;6253;6451;5356;885;519;5785;6253;8173;6011;6279;6253;519;6451;5356;885;8173;6011;6279;519;6451;5356;5713;6011;1752;6451;519;762;150;6011;8173;
26;6757;6401;6093;5664;2860;2825;6100;803;5871;215;3440;1525;5917;5953;1101;1083;2777;5444;;;6100;6401;6093;5664;2825;803;3440;6757;5871;2860;6100;6401;6093;5664;2825;803;3440;6757;5871;2860;6093;6401;3440;5871;2825;6100;1083;5953;1525;5917;2860;5664;6401;6093;5871;215;3440;5444;5953;1101;5444;1101;2860;5917;5953;5871;5444;1101;2860;5917;5953;5871;6401;6093;1101;5871;5917;3440;5953;2860;6401;6093;5871;5917;3440;2860;3440;6100;6401;6757;1083;2062;830;6093;6401;
27;7067;5473;6457;1566;6501;361;1103;1100;1912;1156;2091;6381;5877;1853;315;6590;801;5779;;;7067;5473;1103;1566;6457;361;6381;1100;1912;1853;7067;5473;1103;1566;6457;361;6381;1100;1912;1853;5473;1103;1566;6501;6457;6381;1156;315;801;1100;6501;1156;5877;2091;1912;315;5779;6590;1566;1853;801;6501;1156;1100;1912;315;801;6501;1156;1100;1912;315;5473;1103;1566;6501;6457;6381;1156;315;5473;;1566;6457;6381;1156;6457;5473;;7067;361;536;1222;6457;1100;
28;1113;6119;6013;5484;1865;7609;6426;5860;7066;6247;7617;6088;6437;6438;6264;1684;318;1120;;;7609;6119;6013;6088;5484;5860;6426;7617;1113;7066;6119;6426;6013;5860;7066;1113;7609;7617;6088;5484;6426;6013;7066;6437;6119;5860;5484;1865;6119;6013;7066;1865;6426;6437;5484;6247;6088;318;6438;;6119;7066;6247;6013;5484;1865;6119;7066;6247;6013;5484;1865;6119;6013;7066;6247;6426;5860;5484;1865;6119;6013;7066;6426;5860;1865;6013;5860;7609;6119;7066;982;2075;6013;7609;
29;1404;1662;93;581;5789;5869;1976;491;6205;946;1024;1580;2003;1817;2035;6453;5549;1748;;;5869;1580;1662;581;93;1024;1976;1404;946;5789;5869;1580;1662;581;93;1024;1976;1404;946;5789;1976;1580;5869;946;1662;93;2003;2035;1580;1404;581;5789;2003;5869;2035;6205;1976;6453;1817;946;1580;581;5789;2003;2035;6205;1580;581;5789;2003;2035;6205;1404;1662;2035;946;1976;1580;1817;5789;1404;1662;946;1976;1580;5789;1976;1662;;5869;491;1641;3462;1662;1404;
30;1576;6433;6450;5605;2045;728;3633;5375;1472;790;6504;797;2949;2730;1866;814;5913;2885;;;1576;6433;5375;6450;5605;797;3633;2949;728;790;1576;6433;5375;6450;5605;797;3633;2949;728;790;1576;6433;2949;5605;3633;5375;6450;790;6433;6504;2730;2045;3633;6450;1472;790;5913;2885;5605;1866;6433;2730;2045;3633;1472;790;6433;2730;2045;3633;1472;790;1576;6433;5375;5605;728;797;2949;790;1576;6433;790;728;797;5605;1576;5375;728;5605;6433;945;1664;6433;1576;
31;1553;8736;1025;1173;5892;957;2020;1106;940;5384;2014;771;1877;6346;553;931;6216;5922;;;1025;1553;1106;2020;1173;1877;771;957;8736;940;1025;1553;1106;2020;1173;1877;771;957;8736;940;1025;771;1173;5384;1106;8736;940;5892;957;6216;1173;5892;1106;8736;6346;5384;2014;771;940;553;6216;1173;5892;1877;6346;5384;6216;1173;5892;1877;6346;5384;1025;771;1173;5384;1106;8736;940;5892;1025;771;1173;1106;8736;5384;1553;1106;1025;771;1877;6493;526;1106;1025;
32;3032;2774;1914;731;6566;1904;2128;739;2077;1908;1886;5904;3256;1921;2113;6521;2836;1059;;;3032;2128;739;731;6566;1904;2836;3256;1059;2077;3032;2128;3256;731;6566;1904;2836;739;1059;2077;3256;3032;739;731;1904;2128;1059;6566;1914;2774;2077;6566;6521;5904;2113;1908;3256;3032;1921;731;2774;2077;6566;1914;2113;1908;2774;2077;6566;1914;2113;1908;2774;3032;731;6566;3256;1914;2077;1908;2774;3032;731;739;1914;6566;1886;3032;2128;3256;2836;2746;3251;739;2128;
33;1647;1407;758;1901;1990;3836;1864;2111;1958;1526;3806;1479;6537;5733;5401;1376;696;3247;;;1647;1407;758;1990;1901;3806;1479;3247;1526;1958;1647;1407;758;1901;1990;3806;1479;3247;1526;1958;758;1407;1990;1901;3247;1647;1479;1526;1864;2111;1958;5401;6537;3836;5733;1990;1407;1376;1901;1526;1864;1958;5401;2111;5733;1990;1864;1958;5401;2111;5733;1990;758;1407;1901;1990;1864;2111;1958;1526;758;1407;1901;1647;1864;1990;2111;758;1407;696;1479;864;3066;1407;758;
34;2031;1906;1839;1934;1861;765;1261;2049;2066;3258;6276;6481;3893;129;1779;1818;6562;1686;;;6276;1906;1839;1861;129;6562;6481;3893;1934;2066;6276;1906;1839;1861;129;6562;6481;3893;1934;2066;1839;1906;6481;1861;2049;3893;1934;129;2049;1261;1934;1779;1686;6562;2066;3258;765;2031;129;1861;1261;1934;1779;2049;2066;3258;1261;1934;1779;2049;2066;3258;1261;1906;1934;1861;2049;1839;2066;3258;1839;1906;1861;2049;1261;1934;1261;6481;1861;6562;1906;6545;1919;1261;6481;
36;1468;1699;1573;1755;5926;5651;687;6519;6127;6506;664;5936;5566;1496;6554;947;2079;3260;;;5651;3260;1573;947;5926;1468;1699;6519;5936;6506;5651;3260;1573;947;5926;1468;1699;6519;6506;1755;947;5651;3260;5926;1573;1699;6519;6506;687;664;1755;6554;1573;1699;6127;5926;1468;6519;1496;6506;664;1755;6554;687;6127;5926;664;1755;6554;687;6127;5926;1573;1699;1755;5926;1468;6519;6127;6506;1573;1699;5926;5651;6519;6506;1699;5936;1468;1573;6519;1893;1275;1699;5936;
37;6825;6363;1062;1843;8177;2124;1762;1812;6963;5646;3696;2862;1704;1933;5828;2884;2888;1491;;;6825;1762;1062;5646;1933;3696;1704;1491;1812;8177;6825;1762;1062;5646;1933;3696;1491;1704;8177;1843;1062;6825;1491;5646;1762;1704;8177;1933;2888;2124;1843;5828;2862;1812;6963;8177;6363;3696;1933;5646;2124;1843;5828;2862;6963;8177;2124;1843;5828;2888;6963;8177;1812;6825;1843;8177;1062;1704;6963;5646;6825;1812;8177;1704;1062;1843;6825;2124;2888;1704;3696;3109;2499;6825;6363;
38;1582;1383;872;1776;25;2893;1165;1048;752;1409;3289;3630;2125;1708;110;2866;2772;3445;;;1582;1383;872;2772;1409;1048;1165;2866;25;1708;1582;1383;872;2772;1409;1048;1165;2866;25;1708;1383;1582;2772;1409;872;1165;2866;25;3289;2893;1776;110;1165;1383;752;25;1048;872;1409;1708;3289;1776;110;2893;752;25;3289;1776;110;2893;752;25;1165;1383;1776;25;1048;872;752;1409;1165;1383;1776;1048;872;25;1165;1383;1048;872;2866;613;1955;1383;872;
40;2535;5943;3674;2103;5440;838;1492;1860;1847;5946;1722;1298;162;6500;1925;773;1408;5656;;;838;1492;162;1925;2103;1722;1298;1860;5440;5946;838;1492;162;1925;2103;1722;1298;1860;5440;5946;1722;838;2103;1925;162;1492;1860;5440;5943;3674;5440;6500;773;2535;1847;5946;1722;838;2103;1925;3674;5440;6500;5943;1847;5946;3674;5440;6500;5943;1847;5946;2535;5943;2103;5440;773;838;1847;5946;2535;5943;5440;773;838;5946;1408;1722;5943;1298;5946;5923;1130;5943;3674;
41;3810;1209;6780;4743;1819;143;2775;6502;5921;7073;877;5670;2094;3044;1512;5918;3795;5731;;;143;5670;6780;2094;5921;5918;1209;6502;1512;4743;143;5670;6780;2094;5921;5918;1209;6502;1512;4743;6780;5670;2094;5921;2775;1209;143;1512;3810;1209;3044;1819;2775;877;4743;7073;6502;143;5921;1512;1209;3044;1819;3810;4743;7073;1209;3044;1819;3810;4743;7073;3810;1209;4743;1819;143;2775;5921;7073;3810;1209;1819;143;2775;7073;5670;6780;3810;5918;143;3894;283;3810;1209;
43;2109;941;2882;1458;754;1086;5784;5525;852;3782;3889;221;1789;3763;2928;1399;1490;870;;;2109;1789;2882;1086;3782;3889;941;870;2928;1458;2109;1789;2882;1086;3782;3889;941;870;2928;1458;2882;2109;1086;3782;870;1789;941;2928;3889;941;852;754;1490;5525;1458;3782;1399;5784;3763;2928;941;852;754;3889;1458;3782;941;852;754;3889;1458;3782;941;2109;1458;754;1086;2882;852;3782;941;2109;1458;1086;2882;754;2109;3889;1086;2928;870;1433;5949;941;2109;
44;7;5534;2032;2068;705;714;332;720;2727;2043;676;357;3418;1657;612;1047;1310;192;;;676;332;720;2068;2043;1047;7;2032;714;2727;676;332;720;2068;2043;1047;7;2032;714;2727;720;676;2043;2068;1047;332;7;2727;7;357;612;705;2032;714;2727;2043;192;3418;1657;2068;357;612;705;7;2727;2043;357;612;705;7;2727;2043;714;7;2068;705;2032;676;2727;2043;714;7;2068;2032;676;2727;1047;676;1657;3418;714;3318;8;7;714;
45;6021;6442;6424;5748;5459;6028;2136;6107;6245;1757;5967;1786;2926;1882;828;3274;6811;6776;;;1786;2136;6107;1882;1757;6021;3274;6424;6245;5748;1786;2136;6107;1882;1757;6021;3274;6424;6245;5748;1786;2136;6107;1882;6442;3274;6245;1757;6424;6442;5748;5459;6021;6811;828;1757;6028;6776;6245;1882;6442;5748;5459;6424;828;1757;6442;5748;5459;6424;828;1757;2136;6442;5748;5459;1786;6424;6245;1757;2136;6442;5748;1786;6424;6245;2136;3274;6811;6442;6021;2664;1371;6442;6107;
47;2026;3411;2718;1465;1997;1256;822;5446;7007;5557;5601;6429;5389;5780;3473;6252;5807;6400;;;2026;3411;2718;822;5557;1256;6429;5446;3473;1997;2026;3411;2718;822;5557;1256;6429;5446;3473;1997;2026;3411;1256;5557;2718;822;5446;3473;6400;5807;7007;1997;3411;6252;1465;5780;1256;2026;3473;5557;5807;7007;1465;6400;5780;1997;5807;7007;1465;6400;5780;1997;2026;3411;1465;1997;822;1256;7007;5557;2026;3411;1997;822;1256;1465;2026;3411;6252;1465;2718;2809;5740;3411;2026;
48;112;1827;6548;8170;5485;6536;3324;1650;5369;2050;3311;6204;1982;2875;768;774;3307;467;;;112;1827;1982;8170;5369;6536;6204;1650;2875;2050;112;1827;1982;8170;5369;6536;6204;1650;2875;2050;6204;1827;5369;8170;1982;112;2050;2875;6548;3311;768;5485;774;3324;8170;2050;467;6536;2875;5369;3311;768;5485;6548;8170;2050;3311;768;5485;6548;8170;2050;774;1827;8170;5485;6204;3324;5369;2050;774;1827;5485;6204;3324;8170;3324;1827;6536;3307;112;3220;1547;3324;1827;
50;876;1937;1765;6227;3105;980;6272;1395;3233;5661;1235;6255;1230;234;6717;934;2089;3809;;;876;1937;1395;980;3233;1235;6255;1230;3809;234;876;1937;1395;980;3233;1230;6255;3809;234;3105;980;876;1395;3233;1230;3809;3105;234;6272;1765;6227;6717;1937;2089;3233;5661;6255;1235;234;3105;1765;6227;6717;6272;3233;5661;1765;6227;6717;6272;3233;5661;1765;876;6227;3105;1235;1937;3233;5661;1765;876;3105;980;1937;5661;876;1235;980;1395;6272;2896;1021;876;1235;
53;3441;1096;419;3486;954;484;6463;3329;6302;2120;1586;1494;5852;6138;2895;2038;364;3895;;;484;1096;419;3486;2120;2038;6463;3329;1494;954;484;1096;419;3486;2120;2038;6463;3329;1494;954;484;1096;6463;3486;1494;419;3329;2120;3441;6463;6302;954;1586;419;2895;6138;5852;1494;3486;2120;3441;6302;954;6463;2895;6138;3441;6302;954;6463;2895;6138;3441;1096;3486;954;6463;419;6302;2120;3441;1096;954;6463;419;2120;3895;2038;1494;419;1096;3273;1242;1096;419;
54;5893;510;2044;350;836;5840;866;5582;671;3172;1813;1961;3731;2041;1854;1612;925;2725;;;5840;866;2725;1854;2041;5893;1612;2044;5582;350;5840;866;2725;1854;2041;5893;1612;2044;5582;350;2725;5840;2041;1854;5582;2044;5893;350;2044;5893;671;836;5582;510;350;3172;3731;1612;2041;1854;5893;671;836;2044;350;3172;5893;671;836;2044;350;3172;5582;2044;350;836;3731;5893;671;3172;5582;2044;836;3731;5893;1854;1854;1813;2041;5840;3731;6527;124;2044;5582;
55;2764;6370;1953;1977;5490;736;2025;1715;6497;1702;6460;1840;5364;6483;3637;2869;2873;5798;;;2764;2869;1953;1977;5490;736;2025;1715;5364;6497;2764;2869;1953;1977;5490;736;2025;1715;5364;6497;1953;2869;2025;1977;5364;1715;2764;5490;6370;1840;6497;5490;2873;1953;6483;1702;2025;1715;3637;1977;6370;6497;5490;1840;6483;1702;6370;6497;5490;1840;6483;1702;6370;1953;1977;5490;1715;2025;6497;1702;6370;1953;1977;1715;2025;5490;1715;1977;6370;2869;5490;3319;1666;2025;1953;
56;1343;2734;5432;2024;446;6487;3219;2102;5686;262;6317;5510;5612;1537;5463;2886;6884;1661;;;1343;3219;5432;2102;2024;6317;2734;5612;1661;5686;1343;3219;5432;2102;2024;6317;2734;5612;1661;5686;2102;5432;3219;2024;2734;1343;5612;5686;6487;5612;1537;262;1661;2734;2024;446;2886;5510;5686;5463;6487;1537;262;2734;2024;446;6487;1537;262;2734;2024;446;2102;5432;2024;446;5612;2734;5686;262;2102;5432;2024;5612;2734;5686;5432;5612;1661;1343;6487;2115;167;2734;5432;
57;2856;5880;1774;5827;7050;2848;6007;3446;2070;6540;1910;5674;5767;3634;2056;5699;3892;3461;;;2856;3892;1774;2070;3634;5880;5699;5767;3461;2056;2856;3892;1774;2070;3634;5880;5699;5767;3461;2056;2856;3892;1774;2070;5699;5767;3461;3634;3446;5880;5827;6540;5674;6007;3634;7050;2856;3892;2070;2056;3446;5827;6540;5880;3634;7050;3446;5827;6540;5880;3634;7050;6007;5880;5827;7050;3892;5674;2070;6540;6007;5880;5827;3892;5674;7050;7050;6007;5699;2848;3461;3756;6985;5880;6007;
58;5499;6109;2847;3884;2874;3891;2964;3399;6299;5599;6114;5983;6836;3127;5825;5928;3492;2728;;;5499;2728;2847;6109;2874;3891;2964;3399;6836;3884;5499;2728;2847;6109;2874;3891;2964;3399;6836;3884;2728;5499;6109;2874;2847;2964;3399;3884;2964;6109;6299;2874;2847;3399;3127;5599;3891;6836;3884;5825;6109;6299;2874;2964;3127;5599;6109;6299;2874;2964;3127;5599;2964;6109;6299;2874;3399;2847;3884;5599;2964;6109;2874;5499;2847;6299;5983;6836;5928;5499;3492;3395;2720;6109;2964;
