TeamId,ES L1 LW,ES L1 C,ES L1 RW,ES L1 LD,ES L1 RD,ES L2 LW,ES L2 C,ES L2 RW,ES L2 LD,ES L2 RD,ES L3 LW,ES L3 C,ES L3 RW,ES L3 LD,ES L3 RD,ES L4 LW,ES L4 C,ES L4 RW,ES L4 LD,ES L4 RD,PP5on4 L1 LW,PP5on4 L1 C,PP5on4 L1 RW,PP5on4 L1 LD,PP5on4 L1 RD,PP5on4 L2 LW,PP5on4 L2 C,PP5on4 L2 RW,PP5on4 L2 LD,PP5on4 L2 RD,PP5on3 L1 LW,PP5on3 L1 C,PP5on3 L1 RW,PP5on3 L1 LD,PP5on3 L1 RD,PP5on3 L2 LW,PP5on3 L2 C,PP5on3 L2 RW,PP5on3 L2 LD,PP5on3 L2 RD,PP4on3 L1 F1,PP4on3 L1 F2,PP4on3 L1 LD,PP4on3 L1 RD,PP4on3 L2 F1,PP4on3 L2 F2,PP4on3 L2 LD,PP4on3 L2 RD,PK4on5 L1 F1,PK4on5 L1 F2,PK4on5 L1 LD,PK4on5 L1 RD,PK4on5 L2 F1,PK4on5 L2 F2,PK4on5 L2 LD,PK4on5 L2 LD,PK4on5 L3 F1,PK4on5 L3 F2,PK4on5 L3 LD,PK4on5 L3 LD,PK3on5 L1 F1,PK3on5 L1 LD,PK3on5 L1 RD,PK3on5 L2 F1,PK3on5 L2 LD,PK3on5 L2 LD,PK3on4 L1 F1,PK3on4 L1 LD,PK3on4 L1 RD,PK3on4 L2 F1,PK3on4 L2 LD,PK3on4 L2 LD,4on4 L1 F1,4on4 L1 F2,4on4 L1 LD,4on4 L1 RD,4on4 L2 F1,4on4 L2 F2,4on4 L2 LD,4on4 L2 LD,3on3 L1 F1,3on3 L1 LD,3on3 L1 RD,3on3 L2 F1,3on3 L2 LD,3on3 L2 LD,Shootout 1,Shootout 2,Shootout 3,Shootout 4,Shootout 5,Goalie 1,Goalie 2,Extra Attacker 1,Extra Attacker 2,
20,6565,5876,6466,2731,1152,473,1766,1102,7614,5905,2843,849,819,6273,6910,794,3645,3331,,,6565,5876,6466,6273,5905,473,1766,1102,2731,1152,6565,5876,6466,6273,5905,473,1766,1102,2731,1152,6565,5876,6273,5905,473,1766,2731,1152,6565,5876,2731,1152,473,849,7614,6910,,,,,5876,2731,1152,849,7614,6910,5876,2731,1152,849,7614,6910,6565,5876,2731,1152,1766,,6273,,6565,5876,1152,1766,,2731,5876,6565,,1766,794,1247,1300,5876,6565,
21,1375,1656,1149,8185,5882,1655,6166,5862,6420,5871,469,2048,2053,5584,1087,961,6185,5898,,,2053,6185,1149,1087,5882,5898,2048,1656,961,6420,2053,6185,1149,1087,5882,5898,2048,1656,961,6420,2048,6185,5882,1087,1149,1656,2053,6420,1656,469,8185,5882,1375,1149,1087,6420,6166,5898,5871,5584,469,8185,5882,1656,1087,6420,469,8185,5882,1656,1087,6420,1149,1656,8185,5882,1375,5862,5584,1087,1149,1656,5882,1375,5862,1087,1149,1655,1375,5898,6166,540,1658,5862,1656,
23,1403,2959,5868,5509,1350,5912,6345,1900,6551,6236,1867,6179,6444,5811,5465,2078,1217,5870,,,1403,2959,5868,5912,1350,6345,1867,5870,1900,6236,1403,2959,5868,5912,1350,6345,1867,5870,1900,6236,1403,2959,5912,1350,6444,1867,1900,6236,5912,6444,5509,6551,1217,2078,5811,5465,,,,,6345,5509,6551,6444,5811,5465,6345,5509,6551,6444,5811,5465,1403,2959,5912,1350,6444,1867,1900,6236,1403,2959,1350,6444,1867,6236,1403,5912,2959,1900,5868,5944,6515,,2959,
24,1930,1040,928,2013,6436,966,8184,5652,1832,6456,6330,6130,1816,2874,30,5538,5669,1883,,,966,1040,1930,2874,6456,5652,928,1816,8184,6436,966,1040,1930,2874,6456,5652,928,1816,8184,6436,928,1040,966,2874,5652,1930,6436,6456,1883,5538,2013,30,6130,5669,1832,6436,6330,1816,2874,6456,5538,2013,30,1883,1832,6436,5538,2013,30,1883,1832,6436,928,1040,2874,6436,1930,966,2013,6456,928,1040,6436,1930,966,2874,1040,966,2874,1930,1883,567,1828,1040,928,
25,519,6011,8173,6279,6253,217,5736,6451,5356,1745,6329,5713,5579,5785,885,1761,1752,1590,,,1590,5713,6011,8173,6279,519,217,6451,5736,5356,1590,5713,6011,8173,6279,519,217,6451,5736,5356,1590,6011,8173,6279,217,5713,6451,5356,6451,6329,5356,5785,519,5736,885,6253,1752,5579,6279,1745,6329,5356,5785,6451,885,6253,6329,5356,5785,6451,885,6253,6451,6011,6279,6253,5736,519,5356,5785,6451,6011,6279,1590,519,5356,5713,6011,519,6451,6253,762,150,6011,6451,
26,6100,6401,2825,5664,2860,6445,5420,6093,6227,5661,5864,6255,803,6205,6717,876,5881,5444,,,6100,5420,6401,6445,5664,6255,6093,803,6227,5661,6100,5420,6401,6445,2860,6255,6093,803,6227,5661,6100,5420,6445,2860,6255,6093,6227,5661,6445,5420,2860,5664,6401,6093,5661,6205,5864,5444,6227,6717,6445,2860,5664,5420,5661,6205,6445,2860,5664,5420,5661,6205,6093,6445,6205,6717,5420,6401,5664,5661,6093,6445,6205,5420,6401,5664,803,5864,876,6100,2825,830,2062,6445,6093,
27,7067,5473,6457,1566,1912,361,1103,1100,6501,1156,2091,6381,5877,1853,315,6590,801,5779,,,7067,5473,1103,1566,6457,361,6381,1100,1912,1853,7067,5473,1103,1566,6457,361,6381,1100,1912,1853,5473,1103,1566,6501,6457,6381,1156,315,801,1100,6501,1156,5877,2091,1912,315,5779,6590,1566,1853,801,6501,1156,1100,1912,315,801,6501,1156,1100,1912,315,5473,1103,1566,6501,6457,6381,1156,315,5473,,1566,6457,6381,1156,6457,5473,,7067,361,536,1222,6457,1100,
28,7617,6119,6013,7066,6247,1113,6426,5860,5484,1865,6437,6088,7609,5748,6438,1509,318,1120,,,7609,6119,6013,5860,7066,6437,6426,7617,1113,5484,6119,6426,6013,5860,7066,1113,7609,7617,6437,5484,6426,6013,7066,6437,6119,5860,5484,1865,6119,6013,7066,1865,6426,6437,5484,6247,6088,318,5748,6438,6119,7066,6247,6013,5484,1865,6119,7066,6247,6013,5484,1865,6119,6013,7066,6247,6426,5860,5484,1865,6119,6013,7066,6426,5860,1865,6013,5860,6437,6119,7066,982,1294,6013,5860,
29,1404,1662,491,581,5789,5869,1976,93,1817,2035,1024,1580,2003,946,1901,1764,5549,6453,,,5869,1976,1662,581,1404,6453,1580,93,946,1817,5869,1976,1662,581,1404,6453,1580,93,946,1817,1976,1580,5869,946,1662,1764,2003,2035,6453,1662,5789,2035,1404,1024,581,,1976,1580,1817,946,1662,,5789,6453,581,946,1662,,5789,6453,581,946,1404,1662,2035,946,1976,1580,1817,5789,1404,1662,946,1976,1580,5789,1976,1662,1764,5869,491,1641,3462,1662,1404,
30,1576,1429,6048,5605,790,728,6433,5375,1472,1866,6504,3633,6450,2730,2045,7,797,2885,,,1576,6433,5375,5605,1429,797,3633,6450,728,790,1576,6433,5375,5605,1429,797,3633,6450,728,790,1576,6433,1429,5605,3633,5375,6450,790,6433,6504,2730,2045,3633,6450,5605,790,797,,,1866,6433,2730,2045,3633,5605,790,6433,2730,2045,3633,5605,790,1576,1429,5375,5605,728,6433,6048,790,1576,1429,790,728,6433,5605,1429,1576,728,6433,6048,945,1664,1429,1576,
31,1106,6216,1025,1173,614,1553,771,1877,1101,5384,957,8736,1448,6346,1915,1083,1684,5772,,,1553,771,1106,1025,1173,957,8736,6216,1877,5384,1553,771,1106,1025,1173,957,8736,6216,1877,5384,1025,771,1173,5384,1106,1877,1101,614,1877,771,1173,614,957,6216,1101,5384,,,,,771,1173,614,1877,1101,5384,771,1173,614,1877,1101,5384,1025,771,1173,5384,1106,1877,1101,614,1025,771,1173,1106,1877,5384,1553,1106,1025,771,1877,2965,6493,1106,1025,
32,1904,2128,3256,731,1908,3098,2774,1914,1921,5915,3836,5904,1059,5930,1463,2836,2682,6521,,,1904,2128,3256,731,1463,5904,2682,1059,2836,1921,1904,2128,3256,731,1463,5904,2682,1059,2836,1921,3256,2128,1904,731,2836,2682,1059,1463,5904,2774,1921,5915,3098,3836,5930,1908,1914,6521,731,1463,2774,1921,5915,5904,5930,1908,2774,1921,5915,5904,5930,1908,1904,2128,731,1908,2774,3256,1921,5915,3256,2128,731,2774,1904,1921,3256,2128,1908,6521,2774,2746,3240,2128,2774,
33,117,1864,758,5733,1990,3806,1376,3247,963,5401,5560,1948,6537,1958,6307,1647,696,1407,,,3806,696,3247,1990,5733,117,1407,758,1647,5401,3806,696,3247,1990,5733,117,1407,758,1647,5401,117,3247,3806,1990,1647,758,696,5733,1864,5560,5733,1958,1948,6537,963,5401,3247,1376,6307,1990,1864,5733,1958,5560,963,5401,1864,5733,1958,5560,963,5401,117,1864,5733,1990,758,3806,963,5401,117,1864,1990,3806,3247,5733,1407,117,758,1864,5560,864,3066,1407,117,
34,3818,6481,3893,1934,1861,2031,1261,1839,2066,3258,6276,1906,2049,129,1779,6562,5910,1686,,,3818,6481,3893,1861,129,6276,1906,1839,5910,1934,3818,6481,3893,1861,129,6276,1906,1839,5910,1934,1906,6481,3893,1861,3818,1839,5910,129,5910,1261,1934,1779,2031,2049,2066,3258,1686,6562,129,1861,1261,1934,1779,5910,2066,3258,1261,1934,1779,5910,2066,3258,6481,1261,1934,1861,1906,3893,2066,3258,1261,6481,1861,5910,3893,1934,6481,5910,1261,6562,1906,6545,1919,1261,6481,
36,1468,1699,1573,,5926,664,5936,6519,1347,6506,5651,3518,5566,1755,6554,947,2736,2877,,,947,2736,1573,1347,,5651,3518,6519,1699,5926,947,2736,1573,1347,,5651,3518,6519,1699,5926,5651,947,2736,1347,1699,3518,1573,,1699,664,,6554,6519,1573,1755,5926,5936,1468,1347,6506,664,,6554,1699,1755,5926,664,,6554,1699,1755,5926,1573,1699,,5926,1468,6519,1347,6506,1573,1699,,1468,6519,1347,1699,1468,5566,947,3518,1893,704,1699,1573,
37,6825,2862,1062,1843,5646,2124,1762,1812,6963,5828,6363,3696,1704,1922,791,2884,2888,1491,,,6825,1762,1062,5646,1922,6363,1704,1491,1812,1843,6825,1762,1062,5646,1922,6363,1491,1704,1812,1843,1704,1062,6825,5646,1491,1762,1812,1922,2888,2124,1843,5828,2862,1812,6963,791,6363,3696,1922,5646,2124,1843,5828,2862,6963,791,2124,1843,5828,2888,6963,791,1704,1062,1843,5646,6825,1812,6963,5828,1704,1062,1843,6825,1812,5646,1062,6363,6825,1922,1812,3109,2499,6825,6363,
38,1511,2772,1048,5518,25,6682,3289,2125,752,1708,2817,3202,3177,1776,110,5389,2866,3445,,,1048,2772,3177,2866,752,6682,3289,2817,5389,25,1048,2772,3177,2866,752,6682,3289,2817,5389,25,3177,2772,2866,752,5389,2817,1048,25,3289,1511,5518,110,2125,1048,1776,25,3202,3445,752,1708,3289,5518,110,1511,1776,25,3289,5518,110,1511,1776,25,2125,1048,5518,25,2772,3177,752,1708,2125,1048,5518,2772,3177,752,6682,1048,3177,3202,2866,613,1955,3289,1048,
40,2535,5943,3674,2103,5440,773,7069,1722,6500,5946,364,1298,162,5765,1925,1408,1492,5656,,,1722,1298,162,1925,2103,2535,1492,5656,5440,5765,1722,1298,162,1925,2103,2535,1492,5656,5440,5765,1722,1298,2103,1925,162,1492,5765,5440,5943,3674,5440,6500,7069,2535,2103,5946,364,773,1925,5765,3674,5440,6500,5943,2103,5946,3674,5440,6500,5943,2103,5946,2535,5943,2103,5440,773,7069,6500,5946,2535,5943,5440,773,7069,5946,1722,1408,1492,773,5943,5923,1130,7069,5943,
41,3795,1209,6502,5921,1819,143,2775,5731,3044,2077,5918,877,2094,3810,7073,,5670,6780,,,1209,5670,2094,5921,2077,3795,2775,6780,6502,7073,1209,5670,6780,2094,5921,3795,2775,6502,2077,7073,6780,5670,2094,5921,2775,1209,6502,2077,877,1209,3044,1819,6502,2775,2077,7073,5731,3795,5921,3810,1209,3044,1819,877,2077,7073,1209,3044,1819,877,2077,7073,1209,2775,5921,1819,877,5670,3044,2077,1209,2775,1819,6502,877,3810,5670,6780,2775,6502,3810,3894,283,3810,1209,
43,2109,1748,5525,852,6467,1086,5784,2882,6285,3782,3889,221,1789,7441,2928,1399,1490,870,,,2109,1789,2882,1086,7441,3889,5784,870,2928,3782,2109,1789,2882,1086,7441,3889,221,870,2928,3782,1086,2109,2882,7441,870,1789,2928,3782,5525,3889,852,6467,221,1490,6285,3782,1399,5784,7441,2928,3889,852,6467,5525,6285,3782,3889,852,6467,5525,6285,3782,1086,2109,852,6467,3889,1748,6285,3782,1086,2109,6467,5525,1748,852,2109,5525,1086,1789,870,2664,5949,2109,870,
44,1310,5534,788,2068,705,1047,332,118,2727,2043,676,3418,714,1657,517,2032,357,720,,,1047,332,118,2068,2043,676,5534,714,2727,1657,1047,332,118,2068,2043,676,5534,714,2727,1657,118,332,2043,2068,676,1047,1657,2727,5534,357,517,705,3418,1310,2727,2043,2032,788,1657,2068,357,517,705,5534,2727,2043,357,517,705,5534,2727,2043,332,5534,2068,705,3418,1310,2727,2043,332,5534,2068,3418,1310,2727,1047,788,714,2032,3418,8,3318,118,714,
45,6021,6442,1879,1882,1757,2136,1786,899,6264,5459,5967,6811,6424,6028,7020,6920,6776,3274,,,2136,1786,1879,1882,1757,6021,3274,899,6442,7020,2136,1786,1879,1882,1757,6021,3274,899,6442,7020,2136,1786,1757,1882,6442,3274,6028,7020,6021,6442,6264,5459,6776,6811,1882,1757,1879,6920,6028,7020,6442,6264,5459,6021,1882,1757,6442,6264,5459,6021,1882,1757,1786,6442,1882,1757,2136,6021,6264,5459,1786,6442,1882,6021,2136,1757,2136,899,5967,1757,1882,1371,1614,6442,6776,
47,2026,3411,2718,1465,1997,822,1353,2726,7007,5557,6118,2899,5446,7476,1031,9406,6429,6400,,,2026,3411,2718,822,5557,6118,2899,2726,6429,1997,2026,3411,2718,822,5557,6118,2899,2726,6429,1997,2026,3411,2718,5557,2726,822,2899,1997,9406,6400,7007,1465,2899,1353,1031,1997,3411,6118,7476,5557,6400,7007,1465,9406,1031,1997,6400,7007,1465,9406,1031,1997,2026,3411,1465,1997,822,2718,7007,5557,2026,3411,1997,822,2718,1465,2718,3411,2726,5557,9406,2809,5740,3411,2026,
48,112,1827,137,2875,774,6536,3324,6548,5369,5485,3311,6204,1650,768,2050,467,3307,1982,,,112,1827,1650,2875,5369,6536,6204,1982,2050,774,112,1827,1650,2875,5369,6536,6204,1982,2050,774,112,1827,6204,2875,1982,1650,2050,5369,6548,3311,768,774,137,3324,2875,5485,467,6536,5369,2050,3311,768,774,6548,2875,5485,3311,768,774,6548,2875,5485,137,1827,2875,774,112,3324,5369,5485,137,1827,774,6536,3324,5485,1827,1982,112,6548,1650,3220,1547,137,3324,
50,980,1718,1169,2814,1526,1235,2777,1765,489,956,6986,1937,609,234,3105,2072,1395,6272,,,980,1718,1395,1526,2814,1235,2777,1169,1937,956,980,1718,1395,1526,2814,1235,2777,1169,1937,956,1395,1718,980,1526,1235,1169,2777,2814,6272,1765,489,956,1235,1169,2814,3105,1937,2777,234,1526,1765,489,956,6272,2814,3105,1765,489,956,6272,2814,3105,1765,1169,2814,1526,1235,1718,489,956,1765,1169,1526,1235,1718,2814,1765,1937,234,1526,609,2896,6571,1169,6986,
53,5704,6463,5852,3486,2895,1586,1494,3895,6302,6138,2038,484,3329,1538,2120,3441,,3134,,,3441,484,3895,3486,2120,2038,6463,3329,3134,1538,3441,484,3895,3486,2120,2038,6463,3329,3134,1538,484,3441,3895,3486,2038,6463,3329,1538,5704,1586,6302,6138,3895,5852,3486,2895,2038,6463,1538,2120,5704,6302,6138,1586,3486,2895,5704,6302,6138,1586,3486,2895,1586,5704,3486,2895,3895,5852,6302,6138,1586,5704,2895,3895,5852,6138,2038,1586,6463,5704,1538,1242,650,5704,3441,
54,5840,866,2044,940,836,1813,1854,5582,1942,5839,1674,510,3731,3248,3172,1961,922,1612,,,5840,1854,2044,3248,940,1813,866,5582,3731,5839,5840,1854,2044,3248,940,1813,866,5582,3731,5839,5840,1854,2044,3248,866,5582,3731,940,5582,2044,1942,836,866,510,940,5839,3731,1612,3248,3172,2044,1942,836,5582,940,5839,2044,1942,836,5582,940,5839,5582,2044,940,836,1854,866,1942,5839,5582,2044,940,5840,866,1942,2044,1813,922,5582,1674,124,1351,2044,5582,
55,736,2025,1953,1977,1702,6460,6370,5916,6497,5490,5798,1840,1715,1981,6483,2869,2873,5364,,,736,2869,1953,2025,1977,6460,6370,1715,5364,1702,736,2869,1953,2025,1977,6460,6370,1715,5364,1702,2025,2869,1953,1977,736,1715,5364,1702,6370,5916,6497,1702,1840,2873,1981,5490,2025,1953,6483,1977,6370,6497,1702,5916,1981,5490,6370,6497,1702,5916,1981,5490,1953,2025,1977,1702,1715,6370,6497,5490,1953,2025,1977,6370,1715,1702,1840,1977,1953,2025,736,3319,1666,2025,1953,
56,1343,3219,5432,5672,262,6487,5510,2102,2024,5463,896,2734,2886,5686,1537,1661,6884,5612,,,1343,3219,5432,2102,5672,896,5510,2886,2024,5686,1343,3219,5432,2102,5672,896,5510,2886,2024,5686,2102,5432,1343,5672,896,3219,5510,2024,6487,5510,5672,262,2886,2734,1537,5463,5612,6884,2024,5686,6487,5672,262,5510,1537,2024,6487,5672,262,5510,1537,2024,2102,5432,5672,262,3219,1343,2024,5463,2102,5432,5672,3219,1343,2024,896,5510,3219,1661,2102,167,1331,2734,5432,
57,5880,6007,1774,5827,6540,2856,5674,3446,2070,5932,2848,3892,2954,3634,2056,1910,5699,5990,,,2856,3892,1774,2070,2056,5880,5699,2954,5990,3634,2856,3892,1774,2070,2056,5880,5990,2954,5699,3634,2856,1774,3892,2070,5990,5699,2954,2056,3446,5880,5827,6540,5674,6007,3634,5932,1774,2856,2070,2056,3446,5827,6540,5880,3634,5932,3446,5827,6540,5880,3634,5932,5880,6007,5827,6540,1774,5674,2070,5932,5880,6007,5827,1774,5674,6540,5880,5990,2954,5674,2070,3756,6985,5880,6007,
58,3891,6109,3399,6104,5599,5499,2964,6836,6299,5825,6114,5983,5928,3127,3884,,3492,2728,,,5928,5499,3399,6109,5599,3891,2728,6836,2964,6104,5499,6109,3399,5928,5599,3891,2728,6836,2964,6104,5928,5499,2728,5599,2964,6109,3399,6104,2964,6109,6104,5599,3399,3891,6299,5825,6836,5983,3127,3884,6109,6104,5599,2964,6299,3127,6109,6104,5599,2964,6299,3127,2964,6109,6104,5599,5499,3399,6299,5825,2964,6109,6104,3399,5499,6299,5499,5983,5928,6836,3399,3395,2720,6109,2964,
