League Id;Team Id;Conf Id;Div Id;Wins;Losses;Ties;OTL;Shootout Wins;Shootout Losses;Points;Goals For;Goals Against;PCT
2;89;0;0;22;31;0;2;3;2;48;197;250;.421
2;90;0;1;26;26;0;3;1;3;58;211;225;.500
2;91;0;1;31;22;0;2;1;2;66;227;227;.579
2;92;0;1;20;35;0;2;3;1;43;162;272;.371
2;93;0;1;50;5;0;1;1;1;102;378;127;.895
2;94;0;1;34;22;0;2;0;0;70;273;223;.603
2;95;1;0;29;22;0;3;1;1;62;210;204;.564
2;96;1;0;17;36;0;2;3;3;39;164;283;.336
2;97;1;0;9;45;0;2;1;0;20;139;300;.179
2;98;1;0;12;43;0;1;0;2;27;166;299;.233
2;99;1;0;42;11;0;0;1;3;87;286;160;.777
2;100;1;1;22;35;0;1;1;0;45;205;293;.388
2;101;1;1;31;22;0;2;2;2;66;235;210;.579
2;102;1;1;30;26;0;1;4;1;62;195;234;.534
2;103;1;1;54;4;0;0;1;0;108;378;126;.931
2;104;1;1;26;27;0;4;2;1;57;210;223;.491
3;63;0;0;38;22;0;2;2;0;78;247;216;.629
3;64;0;0;48;11;0;2;1;3;101;310;153;.789
3;65;0;0;14;44;0;1;0;4;33;185;329;.262
3;66;0;0;23;36;0;2;0;2;50;222;305;.397
3;67;0;0;5;57;0;0;1;1;11;89;378;.087
3;68;0;1;30;29;0;2;1;4;66;248;207;.508
3;69;0;1;25;35;0;2;3;0;52;200;255;.419
3;70;0;1;41;19;0;1;3;2;85;257;202;.675
3;71;1;1;34;24;0;2;1;3;73;231;195;.579
3;72;0;1;61;3;0;0;2;1;123;351;98;.946
3;73;0;1;17;42;0;3;3;0;37;161;302;.298
3;74;0;1;30;31;0;0;1;2;62;212;249;.492
3;75;1;0;42;19;0;2;2;0;86;325;212;.683
3;76;1;0;24;35;0;2;4;2;52;200;279;.413
3;77;1;0;6;56;0;0;2;2;14;126;411;.109
3;78;1;0;47;15;0;0;0;3;97;359;184;.746
3;79;1;0;27;30;0;3;4;3;60;224;244;.476
3;80;1;1;34;24;0;2;1;2;72;265;196;.581
3;81;1;1;25;34;0;1;2;2;53;209;249;.427
3;82;1;1;58;5;0;0;4;0;116;347;120;.921
3;83;1;1;57;4;0;0;1;2;116;398;105;.921
3;84;1;1;8;53;0;1;0;0;17;102;379;.137
4;105;-1;0;20;32;0;2;3;2;44;165;233;.393
4;106;-1;0;33;16;0;0;2;4;70;254;174;.660
4;107;-1;0;23;27;0;3;1;2;51;182;231;.464
4;108;-1;0;27;25;0;1;1;2;57;225;239;.518
4;109;-1;0;21;32;0;2;3;2;46;184;243;.404
4;110;-1;1;35;17;0;3;2;1;74;234;191;.661
4;111;-1;1;24;25;0;4;3;4;56;211;231;.491
4;112;-1;1;30;24;0;1;3;0;61;241;228;.555
4;113;-1;1;19;30;0;0;3;5;43;163;236;.398
4;114;-1;1;46;7;0;0;3;2;94;287;136;.855
4;115;-1;1;11;40;0;2;3;2;26;138;249;.236
4;116;-1;2;42;11;0;0;1;2;86;288;175;.782
4;117;-1;2;32;21;0;0;2;1;65;253;202;.602
4;118;-1;2;9;43;0;1;0;2;21;167;327;.191
4;119;-1;2;26;25;0;2;2;2;56;210;207;.509
4;120;-1;2;26;27;0;1;0;2;55;220;214;.491
4;121;-1;2;31;20;0;1;6;3;66;229;232;.600
4;122;-1;0;42;10;0;2;2;2;88;274;177;.786
5;126;0;0;33;30;0;1;4;0;67;200;182;.523
5;127;0;0;43;19;0;0;2;2;88;216;153;.688
5;128;0;0;21;37;0;1;4;4;47;182;250;.373
5;129;0;0;16;38;0;3;1;5;40;146;243;.323
5;130;0;0;37;19;0;3;2;2;79;210;161;.648
5;131;0;0;57;4;0;0;1;2;116;317;95;.921
5;132;0;1;39;21;0;2;3;1;81;218;167;.643
5;133;0;1;38;21;0;2;4;1;79;234;188;.637
5;134;0;1;35;26;0;0;4;2;72;220;228;.571
5;135;0;1;48;13;0;1;4;0;97;267;136;.782
5;136;0;1;15;39;0;4;0;5;39;147;252;.310
5;137;0;1;28;33;0;0;2;3;59;166;206;.461
5;138;0;1;25;36;0;0;0;2;52;169;225;.413
5;139;1;0;25;36;0;0;4;4;54;177;243;.415
5;140;1;0;28;29;0;1;5;5;62;177;196;.492
5;141;1;0;12;48;0;1;0;3;28;132;300;.219
5;142;1;0;53;8;0;0;2;2;108;299;109;.857
5;143;1;0;35;26;0;0;3;2;72;226;196;.571
5;144;1;0;43;17;0;1;2;2;89;233;138;.706
5;145;1;1;36;25;0;0;2;1;73;217;205;.589
5;146;1;1;11;45;0;0;2;6;28;119;294;.226
5;147;1;1;33;28;0;0;2;2;68;215;194;.540
5;148;1;1;43;18;0;2;0;0;88;252;149;.698
5;149;1;1;17;44;0;1;3;1;36;131;267;.286
5;150;1;1;25;33;0;2;4;2;54;178;205;.435
5;151;1;1;21;37;0;1;1;2;45;163;229;.369
