Game Id;Period;Time;Scorer;Assist 1;Assist 2;TeamId;Note;SQ
49190;3;1138;2005;1506;2526;3;ES;3
49172;1;342;6549;816;6560;1;ES;1
49172;1;508;6498;6465;6450;1;ES;1
49172;1;537;5484;816;2073;1;ES;1
49172;3;1132;6465;6450;8169;1;ES;3
49169;1;930;5619;;;18;ES;4
49169;2;254;472;5394;6082;19;ES;2
49169;2;311;1069;93;955;18;ES;4
49169;2;489;1327;717;;18;ES;3
49169;2;1131;790;1656;959;19;PP;3
49169;3;593;408;717;5519;18;ES;1
49169;3;766;2527;959;790;19;PP;1
49169;3;1021;6095;5626;93;18;ES;4
49169;3;1173;5626;717;5619;18;ES, ENG;1
49410;1;1024;508;5652;6436;24;ES;1
49410;2;49;508;2013;1902;24;ES;2
49410;2;168;401;1750;1019;8;ES;2
49410;2;365;5908;6432;522;8;ES;3
49410;2;818;6432;1232;1750;8;ES;2
49410;2;955;1883;2722;6436;24;ES;4
49410;2;1043;794;;;24;ES;4
49410;3;46;1816;;;24;ES;3
49410;3;83;1750;3440;7067;8;ES;1
49410;3;1194;1930;966;6436;24;ES, ENG;3
49210;1;333;1627;1432;1;26;SH;3
49210;1;720;6100;1425;618;26;ES;3
49210;2;1023;1851;5870;6444;23;ES;4
49210;3;392;1627;6205;6445;26;ES;2
49186;1;181;5605;3633;5868;30;ES;1
49186;1;470;5905;1404;5876;20;ES;1
49186;1;833;2730;728;2950;30;ES;1
49186;1;1063;1472;1576;3633;30;ES;1
49186;1;1128;1429;1576;1890;30;ES;1
49186;2;296;814;1890;1472;30;ES;1
49186;2;932;6433;2950;814;30;ES;4
49186;2;1155;1429;2730;1569;30;ES;3
49186;3;397;1429;1576;215;30;ES;4
49304;1;472;1258;5912;2033;152;ES;2
49304;3;530;5874;1826;714;10;ES;2
49304;OT1;145;882;3223;1258;152;ES;2
49209;1;44;1149;305;1375;21;ES;4
49209;1;224;1375;1176;6166;21;ES;3
49209;1;317;1179;1377;1983;124;ES;1
49209;1;543;6249;469;;21;ES;4
49209;1;706;1377;1101;1179;124;ES;2
49209;1;1029;8185;1927;1868;21;ES;1
49209;2;459;1590;5862;1744;21;ES;3
49209;2;578;469;1927;5509;21;ES;3
49209;3;118;1590;6249;1744;21;ES;2
49209;3;526;6166;1375;1149;21;ES;3
49160;1;629;5891;1085;343;12;ES;3
49160;1;1055;921;5861;7619;7;ES;1
49160;1;1093;766;1595;1273;7;ES;4
49160;2;280;5891;697;916;12;ES;4
49160;2;974;1385;;;7;ES;3
49160;3;562;3401;6399;1085;12;ES;3
49160;3;1016;1769;1990;231;7;ES;3
49170;1;961;207;1450;803;29;ES;4
49170;2;163;803;6453;207;29;ES;2
49170;2;693;7605;6344;7063;2;ES;2
49170;3;16;2697;2829;7063;2;ES;2
49170;3;1018;565;1648;5859;2;ES;4
49162;1;84;6719;717;1069;18;ES;2
49162;1;252;408;;;18;PP;2
49162;1;776;2859;217;5884;25;SH;2
49162;2;706;5713;2859;519;25;ES;2
49162;3;622;1243;1040;;25;PP;3
49163;1;419;512;946;839;17;ES;3
49163;1;882;1424;6459;867;14;ES;2
49163;2;383;1102;5945;967;17;ES;4
49171;1;216;1113;5860;6013;28;PP;3
49171;1;489;6489;1524;1623;31;ES;2
49171;1;687;1832;1083;771;31;ES;1
49171;2;247;7611;1413;1785;28;ES;3
49171;2;863;6426;1785;1113;28;PP;1
49171;3;561;5864;1785;7611;28;ES;3
49171;3;600;1113;7611;1785;28;ES;4
49161;1;557;981;5951;6001;19;ES;1
49161;1;981;6470;;;3;ES;2
49161;2;515;94;153;6470;3;PP;3
49161;2;536;1024;5632;1804;3;ES;3
49161;2;991;959;1656;6119;19;ES;2
49161;3;133;1024;2005;6470;3;ES;2
49161;3;401;962;1024;153;3;ES;1
49161;3;916;790;959;;19;PP;1
49161;3;1159;5867;5632;5591;3;ES, ENG;2
49184;1;595;1029;5885;1924;0;ES;4
49184;1;1079;1842;5885;6105;0;PP;3
49184;1;1111;6457;430;829;27;ES;3
49184;3;203;1391;1575;1842;0;ES;4
49184;3;652;1842;1833;6439;0;ES;3
49184;3;940;361;6381;829;27;ES;2
49184;3;1148;430;1103;1317;27;ES;3
49214;1;640;1279;867;;14;PP;1
49214;3;1068;1073;1434;5460;14;ES;2
49214;3;1198;207;;;29;ES;4
49236;1;803;1391;3598;1400;0;ES;3
49236;2;511;5857;3598;6244;0;ES;4
49236;2;583;967;332;1102;17;ES;1
49236;3;213;1739;1789;941;17;ES;2
49236;3;682;1096;839;1415;17;ES;3
49236;3;779;1102;3890;946;17;ES;4
49236;3;806;512;6437;340;17;ES;1
49236;3;1104;1526;512;5877;17;ES;1
49323;2;242;522;1724;5908;8;PP;1
49323;2;376;1398;3888;1672;10;SH;3
49323;2;430;128;1525;861;8;ES;3
49323;2;892;1398;1339;1954;10;ES;3
49323;3;228;1954;1398;5954;10;ES;2
49323;3;1072;5908;600;1019;8;ES;1
49323;OT1;26;1808;6441;5874;10;ES;4
49283;1;356;1877;469;5862;21;ES;1
49283;1;901;6166;1176;8185;21;ES;3
49283;1;1199;1930;928;;24;ES;1
49283;2;640;1744;1149;6166;21;ES;1
49283;3;686;1590;1927;1176;21;ES;3
49177;2;647;1773;1292;6191;9;ES;4
49177;3;122;3331;957;3865;31;ES;3
49177;3;432;1292;1340;6191;9;ES;3
49183;1;551;1212;823;697;12;ES;3
49183;1;577;6027;;;12;ES;4
49183;1;977;5891;1085;;12;ES;1
49183;1;1193;697;1209;6826;12;ES;2
49183;2;338;5486;748;;124;ES;4
49183;2;550;2017;6826;1209;12;ES;2
49183;2;859;6399;1085;697;12;ES;3
49188;1;74;430;1662;6457;27;ES;2
49188;1;193;1128;6457;1566;27;ES;2
49188;1;363;1385;137;1165;7;ES;1
49188;2;657;1595;6431;766;7;ES;1
49188;2;1198;1385;137;;7;ES;4
49188;3;1153;5441;1769;5865;7;ES, ENG;1
49181;2;380;6468;6226;5484;1;ES;2
49181;2;500;6465;402;7613;1;ES;3
49181;2;872;7613;1976;7612;1;ES;1
49181;2;882;3412;318;2724;152;ES;2
49181;3;216;5879;1258;1087;152;ES;4
50151;1;1071;1340;1760;6434;9;ES;1
50151;2;708;662;6436;5669;24;ES;3
49192;1;202;1327;717;6719;18;ES;2
49192;1;614;955;6448;1069;18;ES;3
49192;1;747;6426;1113;5878;28;ES;3
49192;1;950;5941;1042;;18;ES;3
49192;1;1006;1113;5878;82;28;ES;2
49192;2;507;5860;1113;7611;28;PP;4
49192;2;740;878;1113;6438;28;ES;3
49192;2;1021;955;;;18;ES;3
49192;2;1099;5619;717;1327;18;ES;3
49192;3;124;6448;554;717;18;ES;2
49192;3;1111;6719;1791;;18;ES, ENG;2
49219;1;1043;1040;519;6011;25;ES;3
49219;2;681;883;1040;6451;25;ES;2
49219;3;825;6179;1745;1900;23;ES;4
49219;3;846;1745;1867;1403;23;ES;1
49219;OT1;282;217;1252;1243;25;ES;3
49610;1;629;2003;1217;7615;2;SH;2
49610;1;1165;7063;7605;6344;2;ES;2
49610;2;205;5383;565;1763;2;ES;2
49610;2;1159;1804;;;3;ES;3
49610;3;921;5859;2697;7615;2;ES;2
49672;1;558;6119;959;5394;19;ES;3
49672;2;233;797;1134;6449;14;PP;2
49672;3;354;5460;797;16;14;ES;2
49672;3;396;3759;797;16;14;ES;2
49672;3;692;6449;5873;1255;14;ES;3
50195;1;134;1867;1745;6236;23;ES;3
50195;1;152;1403;6236;1745;23;ES;3
50195;1;625;1096;6437;802;17;ES;1
50195;1;662;5465;1730;2078;23;ES;1
50195;1;968;802;6437;1415;17;ES;2
50195;1;1157;340;512;802;17;ES;2
50195;2;123;872;2959;;23;ES;4
50195;2;270;901;6236;;23;ES;4
50195;2;297;5909;2078;901;23;ES;3
50195;3;239;1867;6444;1403;23;PP;4
50195;3;704;6179;;;23;ES;4
50195;3;1186;802;1102;5877;17;PP;3
50165;1;402;6431;766;1819;7;ES;1
50165;1;625;6448;1069;;18;ES;4
50165;1;870;955;5626;408;18;ES;4
50165;2;514;1769;5896;5861;7;PP;2
50165;2;546;955;1069;300;18;ES;3
50165;2;592;93;5619;6688;18;ES;2
50165;2;621;1273;6431;1990;7;ES;2
50165;3;901;1273;766;6431;7;ES;1
50165;3;912;1327;717;6719;18;ES;4
50165;3;1078;1273;6431;1595;7;ES;2
50165;OT1;30;1069;408;955;18;ES;3
49213;1;446;1375;1149;1877;21;ES;3
49213;1;516;1106;1832;5384;31;ES;2
49213;1;703;887;1025;5892;31;ES;4
49213;1;770;6249;1590;5509;21;ES;3
49213;1;924;1025;957;887;31;ES;1
49213;1;1020;852;1083;1106;31;ES;1
49213;2;75;1626;1524;;31;ES;3
49213;2;233;887;1025;957;31;ES;3
49213;2;471;957;887;5384;31;ES;4
49213;2;531;1868;1375;5862;21;ES;2
49213;2;556;5509;6249;1176;21;ES;2
49213;2;830;5862;;;21;ES;3
49213;3;143;1106;887;1025;31;PP;2
49223;2;412;6088;7609;1785;28;PP;2
49223;2;1194;1785;1210;7066;28;PP;1
49223;3;69;5908;1750;1019;8;ES;3
49223;3;400;1210;6013;6438;28;ES;1
50161;1;1170;1506;2526;2005;3;ES;1
49231;1;518;839;1856;1096;17;ES;3
49231;1;849;215;1569;;30;ES;1
49231;2;792;941;1856;1102;17;ES;2
49231;2;1188;941;1415;839;17;SH;4
49231;3;338;1429;1890;2730;30;ES;4
49187;1;477;5861;5896;7619;7;ES;2
49187;1;821;1595;5861;5896;7;ES;1
49187;1;1026;1404;5905;5876;20;ES;2
49187;1;1185;1448;6565;5876;20;PP;3
49187;1;1198;1404;1048;;20;ES;3
49187;2;20;766;1273;6431;7;ES;1
49187;2;126;5861;;;7;PP;4
49187;2;717;1553;1173;819;20;ES;4
49187;2;1021;1273;6431;766;7;ES;3
49187;2;1198;231;;;7;ES;3
49187;3;734;819;6565;5946;20;ES;3
49187;3;877;5876;1152;5535;20;ES;3
49187;3;1089;231;1819;1385;7;ES;2
49187;3;1189;5865;1769;231;7;ES, ENG;1
49206;1;254;6191;1767;1340;9;ES;3
49206;1;417;1292;6191;1587;9;ES;2
49206;2;349;2033;5912;1916;152;PP;1
49206;2;1056;5912;2033;1916;152;PP;2
49206;3;884;764;1340;824;9;ES;3
49196;1;71;1085;6399;;12;ES;2
49196;1;624;5498;343;427;12;ES;4
49196;1;731;5891;5726;1085;12;PP;4
49196;1;793;6560;402;5484;1;ES;4
49196;1;1123;823;3401;1212;12;ES;3
49196;2;421;6336;5891;;12;ES;1
49196;2;873;5891;5726;6399;12;ES;3
49196;3;134;916;5498;427;12;ES;3
49196;3;661;5891;823;398;12;SH;4
49196;3;1069;3401;2017;823;12;ES;4
49207;1;479;2091;1100;6501;27;ES;3
49207;1;867;430;1317;;27;ES;4
49207;2;76;6435;815;1808;10;ES;1
49207;2;150;6457;430;1566;27;ES;3
49207;2;177;815;3888;1808;10;ES;1
49207;2;914;491;;;27;ES;3
49207;2;990;491;1103;;27;ES;3
49207;3;396;430;1128;875;27;ES;2
49207;3;977;6381;361;1853;27;ES;4
49239;1;125;1983;1377;1179;124;ES;2
49239;3;234;8171;1983;1120;124;ES;1
49239;3;899;1983;1377;1179;124;ES;3
49194;1;859;508;966;1902;24;ES;1
49194;1;1080;473;1976;7613;1;PP;4
49194;2;159;3299;473;5484;1;ES;3
49194;2;710;6468;8169;6465;1;ES;2
49194;2;966;1976;5484;6498;1;ES;2
49232;2;110;861;1756;;8;ES;1
49232;2;1059;1393;6191;1773;9;PP;2
49232;3;1164;1340;6447;;9;ES;2
49335;1;720;5486;1377;5533;124;ES;2
49335;2;162;1120;5933;3775;124;ES;4
49335;2;846;1040;6279;6011;25;PP;3
49335;2;871;519;2859;5713;25;ES;4
49335;2;963;7064;217;5884;25;ES;2
49335;3;471;2859;217;5356;25;SH;2
49191;2;538;1375;1868;5862;21;ES;2
49191;2;660;5871;5951;1912;19;ES;1
49191;2;784;5862;1868;1375;21;ES;2
49191;2;974;1656;2527;2053;19;PP;2
49191;2;1146;513;981;5871;19;ES;3
49191;3;84;5898;472;6335;19;ES;4
49203;1;344;6466;207;6453;29;ES;4
49203;2;766;728;1429;6433;30;PP;2
49203;3;541;2730;5868;6433;30;ES;1
49173;1;71;5859;6344;7063;2;ES;1
49173;1;943;872;1403;6236;23;ES;3
49173;2;286;1648;7615;7605;2;ES;2
49173;2;508;6344;7605;1763;2;ES;3
49173;3;568;1851;;;23;ES;4
49173;3;1001;1230;1648;5859;2;ES;3
49211;1;67;398;5891;1085;12;ES;2
49211;1;179;6457;1662;;27;ES;4
49211;1;542;2017;;;12;PP;3
49211;2;587;6381;1662;6501;27;SH;3
49211;2;901;361;6457;1662;27;ES;3
49211;3;732;491;430;1662;27;PP;3
49200;1;157;1448;;;20;PP;3
49200;1;773;819;1448;1766;20;ES;2
49200;1;1186;545;819;1553;20;PP;1
49200;2;45;1134;1073;1279;14;ES;4
49200;2;1164;1424;1134;2090;14;PP;4
49200;3;511;6322;;;14;PP;4
49200;3;879;1448;1152;;20;ES;3
49212;1;438;1113;;;28;ES;4
49212;1;604;5879;882;3412;152;ES;2
49212;1;972;6013;6088;5860;28;ES;2
49212;1;1068;5860;1113;6013;28;PP;4
49212;1;1109;6088;82;1413;28;ES;2
49212;2;422;6426;5878;7066;28;ES;3
49212;3;241;1413;82;1684;28;ES;3
49212;3;460;6426;5878;;28;ES;2
49212;3;795;878;1413;1145;28;ES;1
49212;3;819;5901;882;2724;152;ES;1
49182;2;1115;6082;6335;;19;ES;4
49182;3;634;5951;2053;6001;19;ES;3
49201;1;1028;5857;1029;;0;PP;3
49201;2;57;1327;5619;1069;18;ES;2
49201;2;118;1391;1833;1575;0;ES;3
49201;2;234;1029;5857;1575;0;ES;2
49201;2;696;1791;3120;5694;18;ES;2
49201;2;960;6660;3693;6244;0;ES;2
49201;3;218;1327;408;7610;18;PP;1
49201;3;504;7606;1924;1833;0;ES;2
49201;3;679;5885;6105;1842;0;ES;1
49201;3;1121;1400;5857;3598;0;ES;1
49180;1;247;2829;689;7605;2;ES;1
49180;1;777;6445;553;6100;26;PP;4
49180;1;874;618;;;26;ES;4
49180;2;556;7605;7063;5859;2;ES;2
49180;2;786;1821;1432;6445;26;ES;3
49180;3;201;1425;553;5881;26;ES;4
49180;3;1174;1432;6445;1627;26;ES, ENG;3
49199;1;211;5619;3120;;18;ES;2
49199;1;395;1432;;;26;ES;4
49199;1;556;2826;1198;1;26;ES;4
49199;2;308;5619;5626;;18;ES;3
49199;2;529;1821;1;6100;26;ES;4
49199;2;648;6448;1069;5626;18;ES;2
49199;2;926;5519;1327;717;18;ES;1
49199;3;609;6445;3422;2860;26;ES;4
49199;3;731;1791;5626;1327;18;ES;3
49199;3;1196;1327;5694;1791;18;ES, ENG;1
49193;1;573;1176;1927;1744;21;ES;3
49193;1;683;5867;5900;962;3;ES;3
49193;1;942;1655;1149;6247;21;ES;4
49193;1;1186;5867;5900;;3;ES;2
49193;2;375;1149;469;6247;21;ES;2
49193;3;315;2005;1007;5866;3;ES;2
49193;3;1064;2526;962;2005;3;ES;3
49193;3;1192;2526;2005;94;3;ES, ENG;3
49176;1;401;1057;760;1817;29;ES;3
49176;1;775;473;1976;3299;1;ES;3
49176;3;12;1817;6360;1580;29;ES;2
49176;3;709;3299;7613;5484;1;PP;2
49176;3;1083;803;;;29;ES;3
49216;1;593;2859;6253;7064;25;ES;4
49216;1;1194;6451;5736;1243;25;ES;2
49216;2;605;6438;6426;6013;28;PP;1
49216;2;682;1040;5579;1252;25;ES;4
49216;2;932;519;5713;6451;25;ES;3
49216;2;1119;7609;878;7611;28;ES;2
49216;3;453;7064;5579;1243;25;ES;2
49224;1;157;1165;1385;137;7;ES;3
49224;1;510;6565;5535;;20;ES;2
49224;1;891;5441;1273;766;7;ES;1
49224;2;124;1553;;;20;ES;3
49224;2;597;1819;6431;5861;7;PP;1
49224;3;228;1273;1595;5896;7;PP;3
49224;3;772;1553;1152;1766;20;ES;4
49224;3;1037;5899;6565;2731;20;ES;3
49248;1;404;1851;1403;2959;23;ES;3
49248;1;471;6439;7606;1833;0;ES;3
49248;1;1083;5909;1745;;23;ES;2
49248;1;1139;1745;5909;6236;23;ES;1
49248;2;344;1029;5857;1391;0;ES;3
49248;3;102;1403;1350;2959;23;PP;3
49248;3;780;1900;1851;;23;ES;4
49248;3;1131;5870;2078;6236;23;ES;2
49208;1;945;5440;754;771;31;PP;1
49208;2;597;1083;1832;1106;31;ES;4
49208;2;1128;887;852;1025;31;ES;3
49208;3;943;1524;1626;1083;31;ES;4
49208;3;1142;5384;887;957;31;ES;2
49332;1;247;1739;802;332;17;ES;4
49332;1;439;512;839;1096;17;ES;2
49332;1;932;1526;1415;6216;17;ES;1
49332;1;1196;802;;;17;ES;4
49332;2;434;1339;6435;;10;PP;3
49332;2;457;1102;941;1856;17;ES;1
49332;2;791;1415;6216;941;17;ES;1
49332;2;1122;1644;941;1739;17;ES;1
49332;3;332;1616;118;714;10;ES;3
49242;1;596;475;766;1273;7;ES;1
49242;2;56;3412;2780;882;152;ES;3
49242;2;121;5912;1916;2033;152;PP;2
49242;2;234;318;5901;801;152;ES;4
49242;2;1064;5896;1595;1273;7;PP;3
49197;1;625;5383;2697;1999;2;ES;1
49197;1;876;565;6344;7063;2;ES;2
49197;2;293;1230;1999;2003;2;ES;2
49197;2;800;689;5182;1999;2;ES;1
49197;2;866;565;6344;5859;2;ES;2
49197;2;928;1648;565;7615;2;ES;2
49197;2;1132;6432;5618;5908;8;ES;2
49197;3;482;1359;2829;689;2;PP;2
49226;1;595;797;1134;6449;14;PP;2
49226;1;820;1007;;;3;PP;2
49226;1;854;1024;1804;1506;3;ES;2
49226;1;1070;1804;5900;;3;ES;2
49226;1;1091;6449;1279;867;14;ES;4
49226;2;29;1007;2005;5966;3;ES;4
49226;2;72;1424;5460;1073;14;ES;4
49226;2;333;2005;5591;94;3;ES;3
49226;2;596;6322;1134;797;14;ES;3
49226;2;603;6322;1279;797;14;ES;3
49226;2;640;1134;6322;797;14;ES;3
49226;2;1029;2005;1007;5866;3;ES;2
49226;3;538;1073;1255;797;14;ES;2
49226;3;788;6470;2526;;3;PP;2
49226;OT1;138;3759;6322;;14;ES;3
49271;2;44;1832;1106;771;31;ES;1
49271;2;476;1767;6191;;9;PP;3
49271;2;905;1767;;;9;ES;4
49271;2;1200;1760;1292;6434;9;ES;4
49271;3;479;1025;887;957;31;ES;2
49271;3;1059;771;5384;887;31;PP;3
49222;1;571;1764;207;1580;29;ES;4
49222;2;160;5473;6360;5789;29;ES;3
49222;2;686;6453;207;803;29;ES;3
49222;3;480;6381;2091;361;27;ES;4
49222;3;835;5869;581;5473;29;PP;4
49204;1;359;513;981;2766;19;ES;2
49204;1;1126;2766;981;5898;19;ES;2
49204;2;630;5951;2527;2053;19;ES;3
49204;2;967;472;5898;6082;19;ES;3
49204;3;943;981;5898;5871;19;ES;2
49217;2;1088;1569;215;2950;30;SH;3
49217;3;75;6448;1791;5619;18;ES;1
49217;3;174;728;1429;1576;30;PP;2
49217;3;1185;5868;3633;758;30;ES, ENG;1
49549;1;259;1403;1350;1867;23;PP;3
49549;1;922;6236;1745;5909;23;ES;1
49549;1;970;6445;5881;1627;26;ES;3
49549;1;1083;6445;;;26;PP;4
49549;1;1095;5870;1403;1867;23;ES;1
49549;2;992;2860;5880;2777;26;ES;1
49549;3;132;5664;618;1425;26;ES;1
49549;3;1018;6179;6236;872;23;ES;2
49329;1;411;966;7065;1930;24;ES;4
49329;1;884;662;170;1866;24;ES;3
49329;2;509;7065;966;1816;24;ES;1
49329;2;749;508;5669;6436;24;ES;3
49329;3;312;1816;2722;6436;24;ES;3
49329;3;324;332;512;946;17;ES;2
49329;3;992;794;1816;1883;24;ES;3
49724;1;375;861;401;1724;8;ES;3
49724;1;420;7067;1232;5682;8;ES;3
49724;1;538;5682;;;8;ES;4
49724;1;916;522;3440;861;8;PP;3
49724;3;311;5484;6498;1976;1;ES;1
49383;1;204;6162;1859;2825;124;ES;3
49383;1;953;6162;1377;8171;124;PP;3
49383;1;1020;5884;7064;217;25;ES;1
49383;2;749;1040;5579;6279;25;ES;4
49383;2;873;5579;6279;5736;25;ES;4
49383;2;1143;6420;3775;1377;124;ES;1
49383;3;40;8730;5533;6359;124;ES;2
49383;3;93;1673;5533;1120;124;ES;2
49383;3;426;883;1243;6011;25;PP;3
49383;3;733;883;6253;1040;25;PP;3
49383;3;993;1859;8171;1377;124;PP;4
49383;3;1161;5736;1040;519;25;ES;3
49383;OT1;210;883;1252;5356;25;ES;2
50186;1;52;343;823;6027;12;ES;2
50186;1;908;5498;916;697;12;ES;2
50186;1;1096;343;5891;1212;12;ES;1
50186;2;333;3401;823;6336;12;ES;2
50186;2;605;1744;1655;1927;21;ES;1
50186;2;865;6166;1927;469;21;ES;3
50186;2;1150;5891;1085;;12;ES;1
50186;3;563;1655;1149;8185;21;ES;3
50186;3;1151;697;823;1085;12;ES, ENG;2
50182;1;523;3775;1377;6420;124;ES;2
50182;2;26;1179;1377;3775;124;ES;2
50182;2;134;1179;6185;3775;124;ES;2
50182;2;317;1842;5857;1400;0;SH;3
50182;2;343;1179;6162;1859;124;PP;2
50182;2;697;1179;;;124;ES;4
50182;2;1144;5857;3693;7606;0;ES;2
50182;3;88;5885;1842;;0;PP;2
50182;3;1193;6359;2825;6162;124;ES, ENG;1
49220;1;395;6449;1255;797;14;PP;3
49220;1;406;6470;5867;1024;3;ES;1
49220;1;1082;1424;6459;377;14;ES;3
49220;1;1192;6322;797;1255;14;PP;4
49220;2;915;1434;1073;1279;14;ES;3
49220;3;307;5591;1804;;3;ES;2
49220;3;746;6470;2005;5966;3;ES;2
49220;3;1097;5460;1434;6449;14;ES;2
49220;3;1162;1073;1434;6449;14;ES, ENG;2
49991;1;1028;981;513;5871;19;ES;3
49991;2;270;5898;5394;6082;19;ES;4
49991;2;370;5951;2053;2527;19;ES;3
49991;2;484;1656;959;6335;19;ES;3
49991;3;16;2697;1217;;2;ES;2
49991;3;915;6119;790;;19;ES;3
50178;1;428;883;5579;1243;25;ES;3
50178;2;1078;883;6279;1040;25;PP;3
50178;3;593;5876;1152;1404;20;ES;4
50178;3;1153;5905;;;20;PP;2
